Transcript_ID	Codon	Length
ENSOCUT00000000944	UGA	1000
ENSOCUT00000000954	UAG	309
ENSOCUT00000000959	UGA	1482
ENSOCUT00000000962	UGA	1000
ENSOCUT00000000964	UAA	21
ENSOCUT00000000965	UAG	25
ENSOCUT00000000966	UGA	482
ENSOCUT00000000967	UAG	433
ENSOCUT00000000968	UAA	81
ENSOCUT00000000969	UGA	17
ENSOCUT00000000974	UAG	690
ENSOCUT00000000975	UAA	1000
ENSOCUT00000000976	UAG	146
ENSOCUT00000000978	UGA	299
ENSOCUT00000000981	UGA	1000
ENSOCUT00000000982	UGA	224
ENSOCUT00000000986	UAG	850
ENSOCUT00000000987	UGA	90
ENSOCUT00000000988	UGA	296
ENSOCUT00000000989	UGA	97
ENSOCUT00000000991	UAG	137
ENSOCUT00000000994	UGA	381
ENSOCUT00000000996	UGA	492
ENSOCUT00000000999	UGA	109
ENSOCUT00000001005	UAG	0
ENSOCUT00000001011	UGA	68
ENSOCUT00000001013	UAG	1102
ENSOCUT00000001018	UAA	1000
ENSOCUT00000001020	UAG	1997
ENSOCUT00000001021	UGA	1000
ENSOCUT00000001023	UGA	1020
ENSOCUT00000001026	UAG	1000
ENSOCUT00000001030	UGA	366
ENSOCUT00000001032	UGA	124
ENSOCUT00000001034	UAG	320
ENSOCUT00000001039	UGA	744
ENSOCUT00000001040	UAA	212
ENSOCUT00000001042	UGA	153
ENSOCUT00000001044	UGA	110
ENSOCUT00000001047	UAA	0
ENSOCUT00000001049	UGA	1629
ENSOCUT00000001050	UGA	81
ENSOCUT00000001052	UGA	1303
ENSOCUT00000001058	UGA	1000
ENSOCUT00000001061	UAA	196
ENSOCUT00000001062	UAG	1564
ENSOCUT00000001065	UGA	1000
ENSOCUT00000001069	UAA	164
ENSOCUT00000001074	UGA	1114
ENSOCUT00000001078	UAA	1000
ENSOCUT00000001082	UGA	95
ENSOCUT00000001083	UGA	589
ENSOCUT00000001084	UGA	129
ENSOCUT00000001087	UGA	309
ENSOCUT00000001093	UAA	121
ENSOCUT00000001097	UGA	224
ENSOCUT00000001098	UAA	63
ENSOCUT00000001101	UGA	409
ENSOCUT00000001102	UAA	5
ENSOCUT00000001103	UAG	76
ENSOCUT00000001104	UAG	187
ENSOCUT00000001107	UAG	187
ENSOCUT00000001109	UGA	156
ENSOCUT00000001110	UAG	74
ENSOCUT00000001111	UGA	984
ENSOCUT00000001112	UGA	223
ENSOCUT00000001114	UGA	96
ENSOCUT00000001116	UGA	87
ENSOCUT00000001117	UAG	1000
ENSOCUT00000001119	UGA	442
ENSOCUT00000001121	UGA	35
ENSOCUT00000001122	UGA	157
ENSOCUT00000001123	UGA	212
ENSOCUT00000001125	UGA	271
ENSOCUT00000001127	UGA	1000
ENSOCUT00000001131	UAG	77
ENSOCUT00000001139	UGA	725
ENSOCUT00000001149	UAG	734
ENSOCUT00000001151	UAG	360
ENSOCUT00000001155	UAA	334
ENSOCUT00000001157	UAG	1000
ENSOCUT00000001160	UAA	334
ENSOCUT00000001164	UGA	45
ENSOCUT00000001166	UGA	286
ENSOCUT00000001167	UGA	0
ENSOCUT00000001169	UAG	349
ENSOCUT00000001170	UAG	440
ENSOCUT00000001171	UGA	762
ENSOCUT00000001176	UAG	1813
ENSOCUT00000001180	UGA	924
ENSOCUT00000001182	UGA	125
ENSOCUT00000001186	UAG	96
ENSOCUT00000001191	UAA	215
ENSOCUT00000001197	UAA	1000
ENSOCUT00000001200	UGA	183
ENSOCUT00000001202	UAG	2
ENSOCUT00000001203	UAG	1662
ENSOCUT00000001210	UAA	121
ENSOCUT00000001217	UGA	68
ENSOCUT00000001219	UAG	248
ENSOCUT00000001220	UGA	1000
ENSOCUT00000001228	UGA	256
ENSOCUT00000001231	UAA	43
ENSOCUT00000001232	UAA	1000
ENSOCUT00000001233	UGA	165
ENSOCUT00000001235	UAA	360
ENSOCUT00000001237	UGA	0
ENSOCUT00000001240	UAG	503
ENSOCUT00000001241	UAG	16
ENSOCUT00000001242	UGA	977
ENSOCUT00000001247	UGA	553
ENSOCUT00000001249	UAA	40
ENSOCUT00000001251	UGA	189
ENSOCUT00000001255	UAG	968
ENSOCUT00000001257	UGA	0
ENSOCUT00000001264	UAA	270
ENSOCUT00000001266	UGA	559
ENSOCUT00000001269	UAA	662
ENSOCUT00000001270	UAG	0
ENSOCUT00000001271	UGA	691
ENSOCUT00000001277	UAG	825
ENSOCUT00000001280	UAG	23
ENSOCUT00000001283	UGA	32
ENSOCUT00000001285	UGA	228
ENSOCUT00000001287	UGA	41
ENSOCUT00000001289	UAA	590
ENSOCUT00000001292	UGA	47
ENSOCUT00000001294	UAG	931
ENSOCUT00000001299	UAA	131
ENSOCUT00000001301	UGA	17
ENSOCUT00000001303	UAA	215
ENSOCUT00000001305	UGA	1861
ENSOCUT00000001308	UAG	939
ENSOCUT00000001309	UAA	740
ENSOCUT00000001310	UAG	0
ENSOCUT00000001315	UAA	620
ENSOCUT00000001326	UAA	342
ENSOCUT00000001329	UAG	226
ENSOCUT00000001333	UAA	112
ENSOCUT00000001334	UGA	142
ENSOCUT00000001335	UGA	676
ENSOCUT00000001337	UAA	304
ENSOCUT00000001341	UGA	20
ENSOCUT00000001342	UGA	1000
ENSOCUT00000001350	UGA	1000
ENSOCUT00000001352	UGA	525
ENSOCUT00000001357	UAA	56
ENSOCUT00000001372	UAA	242
ENSOCUT00000001373	UAA	0
ENSOCUT00000001374	UGA	314
ENSOCUT00000001377	UGA	426
ENSOCUT00000001381	UGA	560
ENSOCUT00000001386	UGA	196
ENSOCUT00000001388	UGA	126
ENSOCUT00000001390	UAG	870
ENSOCUT00000001396	UGA	325
ENSOCUT00000001398	UAG	381
ENSOCUT00000001399	UAA	99
ENSOCUT00000001400	UAG	0
ENSOCUT00000001402	UAA	99
ENSOCUT00000001403	UGA	105
ENSOCUT00000001412	UGA	41
ENSOCUT00000001414	UGA	691
ENSOCUT00000001422	UAA	56
ENSOCUT00000001425	UAG	323
ENSOCUT00000001426	UAA	182
ENSOCUT00000001429	UAA	1938
ENSOCUT00000001431	UGA	885
ENSOCUT00000001433	UAA	3
ENSOCUT00000001438	UGA	850
ENSOCUT00000001440	UAG	9
ENSOCUT00000001443	UGA	660
ENSOCUT00000001445	UGA	587
ENSOCUT00000001455	UAA	289
ENSOCUT00000001456	UAG	432
ENSOCUT00000001458	UAG	2536
ENSOCUT00000001460	UAA	1000
ENSOCUT00000001464	UAA	873
ENSOCUT00000001465	UGA	351
ENSOCUT00000001466	UAA	1000
ENSOCUT00000001468	UGA	0
ENSOCUT00000001469	UGA	1000
ENSOCUT00000001477	UAA	28
ENSOCUT00000001478	UGA	889
ENSOCUT00000001481	UAA	287
ENSOCUT00000001483	UGA	999
ENSOCUT00000001494	UAA	1000
ENSOCUT00000001496	UGA	1000
ENSOCUT00000001497	UAG	290
ENSOCUT00000001499	UAG	141
ENSOCUT00000001500	UAA	895
ENSOCUT00000001523	UGA	127
ENSOCUT00000001530	UAG	890
ENSOCUT00000001539	UGA	346
ENSOCUT00000001543	UGA	62
ENSOCUT00000001544	UAG	958
ENSOCUT00000001552	UGA	3063
ENSOCUT00000001553	UGA	136
ENSOCUT00000001562	UGA	218
ENSOCUT00000001571	UAG	102
ENSOCUT00000001574	UGA	178
ENSOCUT00000001575	UGA	145
ENSOCUT00000001578	UGA	1000
ENSOCUT00000001581	UGA	1000
ENSOCUT00000001582	UAA	432
ENSOCUT00000001583	UAG	65
ENSOCUT00000001584	UGA	187
ENSOCUT00000001585	UAG	0
ENSOCUT00000001587	UGA	47
ENSOCUT00000001590	UAA	123
ENSOCUT00000001591	UGA	436
ENSOCUT00000001592	UGA	183
ENSOCUT00000001594	UAA	1000
ENSOCUT00000001598	UGA	170
ENSOCUT00000001602	UGA	10
ENSOCUT00000001605	UAA	201
ENSOCUT00000001606	UGA	21
ENSOCUT00000001609	UAG	2842
ENSOCUT00000001616	UGA	307
ENSOCUT00000001617	UGA	24
ENSOCUT00000001618	UAA	105
ENSOCUT00000001622	UGA	199
ENSOCUT00000001623	UGA	126
ENSOCUT00000001627	UAG	46
ENSOCUT00000001628	UGA	204
ENSOCUT00000001644	UGA	1000
ENSOCUT00000001646	UGA	51
ENSOCUT00000001651	UAG	1000
ENSOCUT00000001656	UAA	280
ENSOCUT00000001659	UGA	92
ENSOCUT00000001661	UGA	1000
ENSOCUT00000001663	UAA	511
ENSOCUT00000001670	UAG	374
ENSOCUT00000001676	UAG	1876
ENSOCUT00000001679	UGA	279
ENSOCUT00000001683	UGA	246
ENSOCUT00000001685	UGA	1685
ENSOCUT00000001687	UGA	559
ENSOCUT00000001692	UGA	237
ENSOCUT00000001696	UAG	202
ENSOCUT00000001697	UGA	462
ENSOCUT00000001698	UGA	1000
ENSOCUT00000001699	UGA	20
ENSOCUT00000001711	UGA	134
ENSOCUT00000001714	UAG	11
ENSOCUT00000001715	UGA	813
ENSOCUT00000001717	UGA	363
ENSOCUT00000001718	UAG	558
ENSOCUT00000001724	UGA	221
ENSOCUT00000001725	UGA	377
ENSOCUT00000001726	UGA	1000
ENSOCUT00000001727	UAG	1000
ENSOCUT00000001731	UAG	669
ENSOCUT00000001732	UGA	478
ENSOCUT00000001734	UAG	187
ENSOCUT00000001735	UAG	171
ENSOCUT00000001738	UAA	752
ENSOCUT00000001743	UAA	88
ENSOCUT00000001750	UGA	266
ENSOCUT00000001751	UGA	954
ENSOCUT00000001754	UAG	464
ENSOCUT00000001756	UGA	493
ENSOCUT00000001758	UAA	297
ENSOCUT00000001759	UAA	266
ENSOCUT00000001763	UGA	105
ENSOCUT00000001766	UGA	221
ENSOCUT00000001767	UAA	239
ENSOCUT00000001768	UGA	221
ENSOCUT00000001772	UGA	178
ENSOCUT00000001776	UAA	146
ENSOCUT00000001778	UAG	68
ENSOCUT00000001780	UAG	520
ENSOCUT00000001785	UGA	901
ENSOCUT00000001791	UGA	738
ENSOCUT00000001799	UGA	1
ENSOCUT00000001800	UAA	568
ENSOCUT00000001802	UGA	1000
ENSOCUT00000001805	UGA	448
ENSOCUT00000001806	UAA	1106
ENSOCUT00000001808	UGA	525
ENSOCUT00000001812	UAA	289
ENSOCUT00000001813	UAA	414
ENSOCUT00000001814	UGA	183
ENSOCUT00000001816	UGA	525
ENSOCUT00000001818	UAG	492
ENSOCUT00000001819	UGA	177
ENSOCUT00000001822	UAG	456
ENSOCUT00000001823	UGA	478
ENSOCUT00000001826	UGA	119
ENSOCUT00000001828	UGA	1487
ENSOCUT00000001831	UGA	985
ENSOCUT00000001834	UAA	333
ENSOCUT00000001835	UGA	276
ENSOCUT00000001838	UAG	38
ENSOCUT00000001840	UAA	1085
ENSOCUT00000001842	UAA	1275
ENSOCUT00000001845	UGA	48
ENSOCUT00000001846	UGA	183
ENSOCUT00000001849	UAG	163
ENSOCUT00000001850	UAG	562
ENSOCUT00000001851	UGA	614
ENSOCUT00000001853	UGA	1995
ENSOCUT00000001856	UAA	296
ENSOCUT00000001857	UAG	336
ENSOCUT00000001858	UGA	920
ENSOCUT00000001861	UGA	472
ENSOCUT00000001863	UAG	1505
ENSOCUT00000001874	UGA	345
ENSOCUT00000001876	UAG	363
ENSOCUT00000001877	UGA	100
ENSOCUT00000001878	UAG	124
ENSOCUT00000001881	UAG	1000
ENSOCUT00000001884	UAA	149
ENSOCUT00000001885	UAG	76
ENSOCUT00000001886	UGA	180
ENSOCUT00000001892	UAG	218
ENSOCUT00000001897	UGA	1000
ENSOCUT00000001899	UGA	282
ENSOCUT00000001902	UGA	505
ENSOCUT00000001906	UGA	559
ENSOCUT00000001907	UGA	1028
ENSOCUT00000001909	UAG	22
ENSOCUT00000001910	UGA	1600
ENSOCUT00000001912	UGA	488
ENSOCUT00000001914	UGA	6
ENSOCUT00000001916	UAA	1684
ENSOCUT00000001919	UGA	114
ENSOCUT00000001920	UGA	591
ENSOCUT00000001925	UAG	325
ENSOCUT00000001932	UAG	1000
ENSOCUT00000001935	UGA	499
ENSOCUT00000001941	UGA	507
ENSOCUT00000001942	UAA	484
ENSOCUT00000001943	UGA	1000
ENSOCUT00000001944	UGA	169
ENSOCUT00000001948	UAA	125
ENSOCUT00000001951	UGA	148
ENSOCUT00000001954	UGA	1169
ENSOCUT00000001955	UAG	789
ENSOCUT00000001957	UAG	1000
ENSOCUT00000001965	UGA	42
ENSOCUT00000001968	UGA	526
ENSOCUT00000001976	UAA	784
ENSOCUT00000001979	UAA	1000
ENSOCUT00000001984	UAG	313
ENSOCUT00000001988	UGA	1688
ENSOCUT00000001990	UGA	25
ENSOCUT00000001993	UGA	332
ENSOCUT00000001999	UGA	226
ENSOCUT00000002001	UGA	1000
ENSOCUT00000002009	UGA	262
ENSOCUT00000002010	UGA	1281
ENSOCUT00000002013	UGA	406
ENSOCUT00000002014	UAA	168
ENSOCUT00000002017	UAG	357
ENSOCUT00000002023	UGA	25
ENSOCUT00000002024	UAA	1000
ENSOCUT00000002025	UGA	32
ENSOCUT00000002026	UAA	1105
ENSOCUT00000002030	UAA	129
ENSOCUT00000002032	UGA	37
ENSOCUT00000002035	UAG	1000
ENSOCUT00000002039	UAG	103
ENSOCUT00000002043	UGA	361
ENSOCUT00000002047	UAG	603
ENSOCUT00000002050	UAA	40
ENSOCUT00000002053	UAA	681
ENSOCUT00000002055	UGA	2002
ENSOCUT00000002058	UAG	190
ENSOCUT00000002061	UAG	308
ENSOCUT00000002064	UGA	135
ENSOCUT00000002065	UGA	150
ENSOCUT00000002071	UGA	89
ENSOCUT00000002072	UGA	609
ENSOCUT00000002073	UAG	16
ENSOCUT00000002088	UAA	205
ENSOCUT00000002094	UAA	917
ENSOCUT00000002103	UGA	1036
ENSOCUT00000002104	UGA	699
ENSOCUT00000002108	UGA	83
ENSOCUT00000002109	UAG	280
ENSOCUT00000002113	UGA	289
ENSOCUT00000002114	UGA	171
ENSOCUT00000002116	UGA	59
ENSOCUT00000002117	UGA	114
ENSOCUT00000002118	UGA	290
ENSOCUT00000002120	UAA	0
ENSOCUT00000002122	UGA	0
ENSOCUT00000002123	UGA	1000
ENSOCUT00000002126	UGA	540
ENSOCUT00000002127	UGA	13
ENSOCUT00000002129	UGA	0
ENSOCUT00000002134	UGA	401
ENSOCUT00000002144	UGA	1000
ENSOCUT00000002146	UGA	1000
ENSOCUT00000002147	UGA	214
ENSOCUT00000002149	UGA	1393
ENSOCUT00000002151	UGA	69
ENSOCUT00000002153	UGA	26
ENSOCUT00000002154	UGA	520
ENSOCUT00000002156	UGA	14
ENSOCUT00000002157	UAA	455
ENSOCUT00000002158	UGA	557
ENSOCUT00000002162	UAG	637
ENSOCUT00000002164	UGA	100
ENSOCUT00000002171	UAG	388
ENSOCUT00000002172	UGA	841
ENSOCUT00000002173	UAA	36
ENSOCUT00000002175	UGA	73
ENSOCUT00000002176	UGA	182
ENSOCUT00000002177	UAG	224
ENSOCUT00000002179	UAG	466
ENSOCUT00000002182	UGA	633
ENSOCUT00000002183	UGA	2541
ENSOCUT00000002185	UAG	1000
ENSOCUT00000002187	UGA	181
ENSOCUT00000002189	UAA	168
ENSOCUT00000002192	UAG	144
ENSOCUT00000002195	UAG	41
ENSOCUT00000002196	UGA	114
ENSOCUT00000002200	UAA	514
ENSOCUT00000002201	UAA	1743
ENSOCUT00000002203	UAA	110
ENSOCUT00000002206	UAG	1384
ENSOCUT00000002207	UGA	40
ENSOCUT00000002215	UGA	167
ENSOCUT00000002217	UAA	1236
ENSOCUT00000002218	UGA	147
ENSOCUT00000002223	UAG	134
ENSOCUT00000002229	UGA	56
ENSOCUT00000002231	UAG	131
ENSOCUT00000002233	UGA	567
ENSOCUT00000002237	UAA	8
ENSOCUT00000002238	UGA	883
ENSOCUT00000002244	UAA	0
ENSOCUT00000002245	UGA	524
ENSOCUT00000002246	UAG	784
ENSOCUT00000002247	UAG	502
ENSOCUT00000002248	UGA	262
ENSOCUT00000002251	UGA	0
ENSOCUT00000002252	UGA	274
ENSOCUT00000002254	UAG	577
ENSOCUT00000002255	UAA	372
ENSOCUT00000002256	UGA	24
ENSOCUT00000002257	UAA	429
ENSOCUT00000002258	UGA	0
ENSOCUT00000002259	UAG	1109
ENSOCUT00000002262	UGA	4222
