SAMPID	SMTS	SMTSD
GTEX-1B8L1-0011-R9b-SM-9WG5U	Brain	Brain - Spinal cord (cervical c-1)
GTEX-1B8L1-0126-SM-9KNVS	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1B8L1-0226-SM-7PBYE	Blood Vessel	Artery - Aorta
GTEX-1B8L1-0426-SM-7SB76	Heart	Heart - Atrial Appendage
GTEX-1B8L1-0526-SM-79ONX	Heart	Heart - Left Ventricle
GTEX-1B8L1-0626-SM-7EPHL	Lung	Lung
GTEX-1B8L1-0726-SM-7P8RT	Liver	Liver
GTEX-1B8L1-1026-SM-79ONW	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1B8L1-1126-SM-7RHIC	Esophagus	Esophagus - Muscularis
GTEX-1B8L1-1326-SM-7MKG6	Adrenal Gland	Adrenal Gland
GTEX-1B8L1-1526-SM-79OLK	Stomach	Stomach
GTEX-1B8L1-1626-SM-7IGMH	Thyroid	Thyroid
GTEX-1B8L1-1926-SM-7IGND	Colon	Colon - Sigmoid
GTEX-1B8L1-2226-SM-7P8PT	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1B8L1-2326-SM-9JGGA	Testis	Testis
GTEX-1B8L1-2426-SM-9WYTE	Breast	Breast - Mammary Tissue
GTEX-1B8L1-2526-SM-9WYTF	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1B8L1-2626-SM-7SB77	Adipose Tissue	Adipose - Subcutaneous
GTEX-1B8L1-2726-SM-793AL	Muscle	Muscle - Skeletal
GTEX-1B8L1-2826-SM-793D2	Blood Vessel	Artery - Tibial
GTEX-1B8L1-2926-SM-7DUGA	Nerve	Nerve - Tibial
GTEX-1B8L1-3026-SM-7EPHK	Brain	Brain - Cortex
GTEX-1B8L1-3126-SM-7EPHA	Pituitary	Pituitary
GTEX-1B8L1-3226-SM-7P8OX	Brain	Brain - Cerebellum
GTEX-1B8SF-0005-SM-7MGVK	Blood	Whole Blood
GTEX-1B8SF-0008-SM-EXOHU	Skin	Cells - Cultured fibroblasts
GTEX-1B8SF-0011-R10b-SM-7P8SW	Brain	Brain - Frontal Cortex (BA9)
GTEX-1B8SF-0011-R11a-SM-79OOP	Brain	Brain - Cerebellar Hemisphere
GTEX-1B8SF-0011-R1b-SM-7P8Q8	Brain	Brain - Hippocampus
GTEX-1B8SF-0011-R5a-SM-79OOO	Brain	Brain - Caudate (basal ganglia)
GTEX-1B8SF-0011-R6b-SM-7MXUD	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-1B8SF-0011-R7b-SM-9OSVM	Brain	Brain - Putamen (basal ganglia)
GTEX-1B8SF-0011-R8b-SM-7P8SX	Brain	Brain - Hypothalamus
GTEX-1B8SF-0126-SM-7DUG3	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1B8SF-0326-SM-7EWEN	Nerve	Nerve - Tibial
GTEX-1B8SF-0426-SM-79OL4	Muscle	Muscle - Skeletal
GTEX-1B8SF-0526-SM-7939F	Adipose Tissue	Adipose - Subcutaneous
GTEX-1B8SF-0626-SM-73KVV	Thyroid	Thyroid
GTEX-1B8SF-0726-SM-73KYZ	Blood Vessel	Artery - Tibial
GTEX-1B8SF-0826-SM-73KW8	Lung	Lung
GTEX-1B8SF-1326-SM-7IGQJ	Heart	Heart - Atrial Appendage
GTEX-1B8SF-1426-SM-7DUGL	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1B8SF-1726-SM-73KZ5	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1B8SF-1826-SM-731DJ	Salivary Gland	Minor Salivary Gland
GTEX-1B8SF-2926-SM-731DL	Testis	Testis
GTEX-1B8SF-3026-SM-731DX	Brain	Brain - Cerebellum
GTEX-1B8SF-3126-SM-73KU1	Brain	Brain - Cortex
GTEX-1B8SG-0006-SM-7MKFA	Blood	Whole Blood
GTEX-1B8SG-0008-SM-EXOHS	Skin	Cells - Cultured fibroblasts
GTEX-1B8SG-0011-R11a-SM-7P8PF	Brain	Brain - Cerebellar Hemisphere
GTEX-1B8SG-0011-R2b-SM-79OOT	Brain	Brain - Substantia nigra
GTEX-1B8SG-0011-R8b-SM-7IGNW	Brain	Brain - Hypothalamus
GTEX-1B8SG-0126-SM-73KZ3	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1B8SG-0226-SM-7939Q	Adipose Tissue	Adipose - Subcutaneous
GTEX-1B8SG-0326-SM-73KXW	Muscle	Muscle - Skeletal
GTEX-1B8SG-0426-SM-73KY9	Nerve	Nerve - Tibial
GTEX-1B8SG-0526-SM-73KWP	Blood Vessel	Artery - Tibial
GTEX-1B8SG-0626-SM-79OL3	Blood Vessel	Artery - Aorta
GTEX-1B8SG-0726-SM-79ONS	Heart	Heart - Atrial Appendage
GTEX-1B8SG-0826-SM-7EWF7	Heart	Heart - Left Ventricle
GTEX-1B8SG-0926-SM-73KV6	Blood Vessel	Artery - Coronary
GTEX-1B8SG-1026-SM-H7OEY	Lung	Lung
GTEX-1B8SG-1126-SM-7IGMT	Thyroid	Thyroid
GTEX-1B8SG-1326-SM-79ONT	Liver	Liver
GTEX-1B8SG-1426-SM-7EWEM	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1B8SG-1726-SM-73KXK	Brain	Brain - Cortex
GTEX-1B8SG-1826-SM-731F3	Pituitary	Pituitary
GTEX-1B8SG-1926-SM-73KUB	Brain	Brain - Cerebellum
GTEX-1B932-0005-SM-9KNTP	Blood	Whole Blood
GTEX-1B932-0008-SM-EXOHW	Skin	Cells - Cultured fibroblasts
GTEX-1B932-0126-SM-7PC2M	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1B932-0226-SM-7PBYH	Adipose Tissue	Adipose - Subcutaneous
GTEX-1B932-0326-SM-7IGMV	Nerve	Nerve - Tibial
GTEX-1B932-0426-SM-73KX4	Blood Vessel	Artery - Tibial
GTEX-1B932-0526-SM-73KU7	Muscle	Muscle - Skeletal
GTEX-1B932-0626-SM-731EM	Salivary Gland	Minor Salivary Gland
GTEX-1B932-0726-SM-731EY	Lung	Lung
GTEX-1B932-0826-SM-73KXG	Breast	Breast - Mammary Tissue
GTEX-1B932-0926-SM-73KUP	Thyroid	Thyroid
GTEX-1B932-1026-SM-793CL	Heart	Heart - Left Ventricle
GTEX-1B932-1226-SM-7PBYN	Blood Vessel	Artery - Coronary
GTEX-1B932-1326-SM-79OM4	Heart	Heart - Atrial Appendage
GTEX-1B932-1426-SM-793AN	Liver	Liver
GTEX-1B932-1626-SM-731EA	Pancreas	Pancreas
GTEX-1B932-1726-SM-793A5	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1B932-1926-SM-79OOA	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1B932-2126-SM-7IGMU	Colon	Colon - Sigmoid
GTEX-1B932-2326-SM-79OL5	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1B932-2626-SM-73KWR	Esophagus	Esophagus - Muscularis
GTEX-1B932-2726-SM-731ER	Uterus	Uterus
GTEX-1B932-2826-SM-73KUD	Colon	Colon - Transverse
GTEX-1B933-0006-SM-7P8OP	Blood	Whole Blood
GTEX-1B933-0008-SM-EXOHV	Skin	Cells - Cultured fibroblasts
GTEX-1B933-0011-R10b-SM-9OSVN	Brain	Brain - Frontal Cortex (BA9)
GTEX-1B933-0011-R11a-SM-7P8PM	Brain	Brain - Cerebellar Hemisphere
GTEX-1B933-0011-R1b-SM-9QEGW	Brain	Brain - Hippocampus
GTEX-1B933-0011-R2b-SM-7IGNM	Brain	Brain - Substantia nigra
GTEX-1B933-0011-R3b-SM-7P8PL	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-1B933-0011-R5b-SM-7P8SA	Brain	Brain - Caudate (basal ganglia)
GTEX-1B933-0011-R6b-SM-79OOQ	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-1B933-0011-R7a-SM-7DUGX	Brain	Brain - Putamen (basal ganglia)
GTEX-1B933-0011-R8a-SM-9QEGX	Brain	Brain - Hypothalamus
GTEX-1B933-0011-R9a-SM-79OOR	Brain	Brain - Spinal cord (cervical c-1)
GTEX-1B933-0126-SM-7PC29	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1B933-0226-SM-7SB6Z	Nerve	Nerve - Tibial
GTEX-1B933-0326-SM-7SB71	Blood Vessel	Artery - Tibial
GTEX-1B933-0426-SM-7DHMC	Muscle	Muscle - Skeletal
GTEX-1B933-0526-SM-7EPHM	Adipose Tissue	Adipose - Subcutaneous
GTEX-1B933-0626-SM-GPI98	Heart	Heart - Left Ventricle
GTEX-1B933-0826-SM-79OMW	Heart	Heart - Atrial Appendage
GTEX-1B933-0926-SM-9OSVH	Lung	Lung
GTEX-1B933-1026-SM-7P8RO	Thyroid	Thyroid
GTEX-1B933-1126-SM-73KX2	Blood Vessel	Artery - Aorta
GTEX-1B933-1226-SM-731DW	Liver	Liver
GTEX-1B933-1326-SM-7939U	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1B933-1726-SM-731FC	Pancreas	Pancreas
GTEX-1B933-1926-SM-73KUN	Esophagus	Esophagus - Muscularis
GTEX-1B933-2026-SM-7EWFC	Esophagus	Esophagus - Mucosa
GTEX-1B933-2126-SM-7MGXR	Ovary	Ovary
GTEX-1B933-2426-SM-7DHMD	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1B933-2526-SM-7IGO5	Breast	Breast - Mammary Tissue
GTEX-1B933-2926-SM-731FO	Pituitary	Pituitary
GTEX-1B933-3026-SM-731DB	Brain	Brain - Cerebellum
GTEX-1B933-3126-SM-7P8RL	Brain	Brain - Cortex
GTEX-1B97I-0005-SM-7PC1M	Blood	Whole Blood
GTEX-1B97I-0008-SM-EXOHX	Skin	Cells - Cultured fibroblasts
GTEX-1B97I-0126-SM-731DH	Spleen	Spleen
GTEX-1B97I-0226-SM-73KVO	Lung	Lung
GTEX-1B97I-0326-SM-7DUGB	Thyroid	Thyroid
GTEX-1B97I-0426-SM-79OL7	Breast	Breast - Mammary Tissue
GTEX-1B97I-0526-SM-73KXE	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1B97I-0626-SM-73KUZ	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1B97I-0826-SM-731DN	Prostate	Prostate
GTEX-1B97I-0926-SM-731DZ	Esophagus	Esophagus - Mucosa
GTEX-1B97I-1026-SM-73KVC	Esophagus	Esophagus - Muscularis
GTEX-1B97I-1126-SM-GPI99	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1B97I-1226-SM-7MGWQ	Stomach	Stomach
GTEX-1B97I-1526-SM-73KUK	Colon	Colon - Sigmoid
GTEX-1B97I-1626-SM-73KYO	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1B97I-1726-SM-7939V	Adipose Tissue	Adipose - Subcutaneous
GTEX-1B97I-1826-SM-7939W	Nerve	Nerve - Tibial
GTEX-1B97I-1926-SM-7DUGC	Blood Vessel	Artery - Tibial
GTEX-1B97I-2026-SM-7DHN2	Muscle	Muscle - Skeletal
GTEX-1B97J-0005-SM-7MXT5	Blood	Whole Blood
GTEX-1B97J-0226-SM-79392	Uterus	Uterus
GTEX-1B97J-0326-SM-7939H	Heart	Heart - Atrial Appendage
GTEX-1B97J-0426-SM-79OLQ	Breast	Breast - Mammary Tissue
GTEX-1B97J-0626-SM-7P8RU	Thyroid	Thyroid
GTEX-1B97J-0726-SM-7RHG3	Heart	Heart - Left Ventricle
GTEX-1B97J-0826-SM-7SB78	Blood Vessel	Artery - Coronary
GTEX-1B97J-0926-SM-79ONU	Esophagus	Esophagus - Muscularis
GTEX-1B97J-1026-SM-7MXTE	Esophagus	Esophagus - Mucosa
GTEX-1B97J-1126-SM-7SB79	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1B97J-1226-SM-7PBZR	Muscle	Muscle - Skeletal
GTEX-1B97J-1326-SM-7PC2G	Nerve	Nerve - Tibial
GTEX-1B97J-1426-SM-79OLR	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1B97J-1526-SM-79ONI	Pancreas	Pancreas
GTEX-1B97J-1726-SM-7MGWP	Blood Vessel	Artery - Tibial
GTEX-1B97J-1826-SM-7IGPP	Stomach	Stomach
GTEX-1B97J-1926-SM-7IGQB	Spleen	Spleen
GTEX-1B97J-2126-SM-79OL6	Salivary Gland	Minor Salivary Gland
GTEX-1B996-0006-SM-7P8OS	Blood	Whole Blood
GTEX-1B996-0008-SM-EXOHY	Skin	Cells - Cultured fibroblasts
GTEX-1B996-0011-R10b-SM-CJI3T	Brain	Brain - Frontal Cortex (BA9)
GTEX-1B996-0011-R1b-SM-7P8PO	Brain	Brain - Hippocampus
GTEX-1B996-0011-R2a-SM-7IGON	Brain	Brain - Substantia nigra
GTEX-1B996-0011-R3b-SM-9QEGY	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-1B996-0011-R4b-SM-9OSVO	Brain	Brain - Amygdala
GTEX-1B996-0011-R5a-SM-7P8PN	Brain	Brain - Caudate (basal ganglia)
GTEX-1B996-0011-R6b-SM-793AQ	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-1B996-0011-R7b-SM-7IGNT	Brain	Brain - Putamen (basal ganglia)
GTEX-1B996-0011-R8b-SM-79OOS	Brain	Brain - Hypothalamus
GTEX-1B996-0126-SM-7PBYF	Adipose Tissue	Adipose - Subcutaneous
GTEX-1B996-0226-SM-7RHGO	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1B996-0326-SM-7DHMU	Muscle	Muscle - Skeletal
GTEX-1B996-0426-SM-7EWF8	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1B996-0526-SM-79OOE	Nerve	Nerve - Tibial
GTEX-1B996-0626-SM-79OJP	Blood Vessel	Artery - Tibial
GTEX-1B996-0726-SM-7IGPI	Lung	Lung
GTEX-1B996-1026-SM-793CF	Heart	Heart - Atrial Appendage
GTEX-1B996-1126-SM-73KWN	Heart	Heart - Left Ventricle
GTEX-1B996-1226-SM-73KWZ	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1B996-1326-SM-731EO	Pancreas	Pancreas
GTEX-1B996-1426-SM-7EPIA	Liver	Liver
GTEX-1B996-1626-SM-7DHLZ	Esophagus	Esophagus - Muscularis
GTEX-1B996-1726-SM-7IGMW	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1B996-1826-SM-7MGY6	Esophagus	Esophagus - Mucosa
GTEX-1B996-2026-SM-7MKG7	Adrenal Gland	Adrenal Gland
GTEX-1B996-2326-SM-731EC	Testis	Testis
GTEX-1B996-2626-SM-73KZ1	Colon	Colon - Transverse
GTEX-1B996-2726-SM-7DUGG	Colon	Colon - Sigmoid
GTEX-1B996-3026-SM-7MKG8	Pituitary	Pituitary
GTEX-1BAJH-0005-SM-7PC1R	Blood	Whole Blood
GTEX-1BAJH-0008-SM-EXOI3	Skin	Cells - Cultured fibroblasts
GTEX-1BAJH-0011-R10a-SM-7MXT9	Brain	Brain - Frontal Cortex (BA9)
GTEX-1BAJH-0011-R11b-SM-7IGLM	Brain	Brain - Cerebellar Hemisphere
GTEX-1BAJH-0011-R1a-SM-7P8SV	Brain	Brain - Hippocampus
GTEX-1BAJH-0011-R3a-SM-7IGNU	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-1BAJH-0011-R6b-SM-7MXT2	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-1BAJH-0011-R8a-SM-7MXUB	Brain	Brain - Hypothalamus
GTEX-1BAJH-0011-R9b-SM-7EPIQ	Brain	Brain - Spinal cord (cervical c-1)
GTEX-1BAJH-0126-SM-7DHMF	Muscle	Muscle - Skeletal
GTEX-1BAJH-0226-SM-7EPHQ	Blood Vessel	Artery - Tibial
GTEX-1BAJH-0326-SM-73KWM	Nerve	Nerve - Tibial
GTEX-1BAJH-0426-SM-73KWY	Adipose Tissue	Adipose - Subcutaneous
GTEX-1BAJH-0526-SM-793CQ	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1BAJH-0626-SM-7P8OY	Prostate	Prostate
GTEX-1BAJH-0726-SM-7IGMF	Testis	Testis
GTEX-1BAJH-0826-SM-7EWEF	Breast	Breast - Mammary Tissue
GTEX-1BAJH-0926-SM-79OO6	Thyroid	Thyroid
GTEX-1BAJH-1026-SM-7EWEG	Heart	Heart - Atrial Appendage
GTEX-1BAJH-1126-SM-7PBYG	Blood Vessel	Artery - Aorta
GTEX-1BAJH-1226-SM-7SB7A	Blood Vessel	Artery - Coronary
GTEX-1BAJH-1326-SM-7RHFS	Lung	Lung
GTEX-1BAJH-1526-SM-7RHGI	Liver	Liver
GTEX-1BAJH-1626-SM-73KUV	Heart	Heart - Left Ventricle
GTEX-1BAJH-1826-SM-731DA	Kidney	Kidney - Cortex
GTEX-1BAJH-1926-SM-7MGWM	Esophagus	Esophagus - Muscularis
GTEX-1BAJH-2026-SM-7P8OZ	Esophagus	Esophagus - Mucosa
GTEX-1BAJH-2126-SM-7EWFB	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1BAJH-2226-SM-7IGLK	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1BAJH-2326-SM-7IGMO	Colon	Colon - Transverse
GTEX-1BAJH-2426-SM-7IGP8	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1BAJH-2526-SM-7IGOT	Small Intestine	Small Intestine - Terminal Ileum
GTEX-1BAJH-2626-SM-7EPG6	Adrenal Gland	Adrenal Gland
GTEX-1BAJH-2726-SM-7IGNJ	Colon	Colon - Sigmoid
GTEX-1BAJH-2926-SM-7EPHP	Pituitary	Pituitary
GTEX-1BAJH-3126-SM-7MGXY	Brain	Brain - Cerebellum
GTEX-1C2JI-0006-SM-7PC3Q	Blood	Whole Blood
GTEX-1C2JI-0008-SM-EXOHZ	Skin	Cells - Cultured fibroblasts
GTEX-1C2JI-0326-SM-7EWFD	Thyroid	Thyroid
GTEX-1C2JI-0426-SM-79OOF	Blood Vessel	Artery - Aorta
GTEX-1C2JI-0526-SM-7EWEQ	Heart	Heart - Left Ventricle
GTEX-1C2JI-0626-SM-7DHM1	Heart	Heart - Atrial Appendage
GTEX-1C2JI-0826-SM-7EPHB	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1C2JI-0926-SM-731F1	Pancreas	Pancreas
GTEX-1C2JI-1026-SM-73KY1	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1C2JI-1126-SM-731FH	Esophagus	Esophagus - Mucosa
GTEX-1C2JI-1226-SM-7DHM2	Esophagus	Esophagus - Muscularis
GTEX-1C2JI-1326-SM-7IGMX	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1C2JI-1626-SM-7EPHC	Colon	Colon - Transverse
GTEX-1C2JI-1726-SM-73KUW	Colon	Colon - Sigmoid
GTEX-1C2JI-1826-SM-73KXC	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1C2JI-1926-SM-73KXO	Blood Vessel	Artery - Tibial
GTEX-1C2JI-2126-SM-793CG	Muscle	Muscle - Skeletal
GTEX-1C2JI-2226-SM-7IGPJ	Adipose Tissue	Adipose - Subcutaneous
GTEX-1C475-0006-SM-9MQL7	Blood	Whole Blood
GTEX-1C475-0008-SM-EXOI1	Skin	Cells - Cultured fibroblasts
GTEX-1C475-0126-SM-731DC	Adrenal Gland	Adrenal Gland
GTEX-1C475-0226-SM-7MGXM	Thyroid	Thyroid
GTEX-1C475-0326-SM-7SB8O	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1C475-0426-SM-7P8OU	Ovary	Ovary
GTEX-1C475-0526-SM-793AC	Vagina	Vagina
GTEX-1C475-0626-SM-73KV9	Uterus	Uterus
GTEX-1C475-0726-SM-73KVL	Esophagus	Esophagus - Muscularis
GTEX-1C475-0826-SM-793AD	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1C475-0926-SM-7MKFI	Esophagus	Esophagus - Mucosa
GTEX-1C475-1026-SM-7MKFJ	Stomach	Stomach
GTEX-1C475-1126-SM-7MGY7	Spleen	Spleen
GTEX-1C475-1226-SM-7SB72	Breast	Breast - Mammary Tissue
GTEX-1C475-1326-SM-7SB73	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1C475-1426-SM-793CH	Small Intestine	Small Intestine - Terminal Ileum
GTEX-1C475-1526-SM-7DHM3	Colon	Colon - Sigmoid
GTEX-1C475-1626-SM-731FP	Colon	Colon - Transverse
GTEX-1C475-1726-SM-73KVX	Muscle	Muscle - Skeletal
GTEX-1C475-1826-SM-73KWA	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1C475-1926-SM-7DUFV	Adipose Tissue	Adipose - Subcutaneous
GTEX-1C475-2026-SM-793CI	Nerve	Nerve - Tibial
GTEX-1C475-2126-SM-7PBXU	Blood Vessel	Artery - Tibial
GTEX-1C4CL-0005-SM-7MKF3	Blood	Whole Blood
GTEX-1C4CL-0008-SM-EXOI2	Skin	Cells - Cultured fibroblasts
GTEX-1C4CL-0126-SM-7IGN5	Blood Vessel	Artery - Tibial
GTEX-1C4CL-0226-SM-GNTBT	Nerve	Nerve - Tibial
GTEX-1C4CL-0326-SM-7DHMH	Muscle	Muscle - Skeletal
GTEX-1C4CL-0426-SM-7939N	Adipose Tissue	Adipose - Subcutaneous
GTEX-1C4CL-0526-SM-73KVK	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1C4CL-0626-SM-731DM	Spleen	Spleen
GTEX-1C4CL-0726-SM-7IGP9	Thyroid	Thyroid
GTEX-1C4CL-0826-SM-7EWEZ	Lung	Lung
GTEX-1C4CL-0926-SM-79OL2	Pancreas	Pancreas
GTEX-1C4CL-1026-SM-GNINQ	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1C4CL-1226-SM-7DUFT	Blood Vessel	Artery - Aorta
GTEX-1C4CL-1426-SM-793CT	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1C4CL-1526-SM-7MGX4	Esophagus	Esophagus - Muscularis
GTEX-1C4CL-1626-SM-7DUF3	Colon	Colon - Sigmoid
GTEX-1C4CL-1926-SM-731DY	Testis	Testis
GTEX-1C4CL-2026-SM-731EB	Salivary Gland	Minor Salivary Gland
GTEX-1C4CL-2126-SM-7IGQC	Colon	Colon - Transverse
GTEX-1C64N-0005-SM-7PBY7	Blood	Whole Blood
GTEX-1C64N-0008-SM-EXUR6	Skin	Cells - Cultured fibroblasts
GTEX-1C64N-0011-R11b-SM-7P8Q6	Brain	Brain - Cerebellar Hemisphere
GTEX-1C64N-0011-R1b-SM-7P8Q7	Brain	Brain - Hippocampus
GTEX-1C64N-0011-R6a-SM-7IGO9	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-1C64N-0011-R7a-SM-7IGOI	Brain	Brain - Putamen (basal ganglia)
GTEX-1C64N-0011-R8b-SM-7MGXE	Brain	Brain - Hypothalamus
GTEX-1C64N-0126-SM-793D7	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1C64N-0226-SM-HLJSN	Adipose Tissue	Adipose - Subcutaneous
GTEX-1C64N-0326-SM-7P8QC	Muscle	Muscle - Skeletal
GTEX-1C64N-0426-SM-7PC31	Nerve	Nerve - Tibial
GTEX-1C64N-0526-SM-7PC32	Blood Vessel	Artery - Tibial
GTEX-1C64N-0826-SM-7RHGQ	Heart	Heart - Atrial Appendage
GTEX-1C64N-1026-SM-79ONM	Thyroid	Thyroid
GTEX-1C64N-1326-SM-7SB7D	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1C64N-2226-SM-7SB7C	Colon	Colon - Sigmoid
GTEX-1C64N-2626-SM-7PC2N	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1C64N-2826-SM-7IGP5	Testis	Testis
GTEX-1C64N-2926-SM-79OLM	Salivary Gland	Minor Salivary Gland
GTEX-1C64N-3026-SM-7MGVU	Brain	Brain - Cortex
GTEX-1C64N-3126-SM-79OO3	Brain	Brain - Cerebellum
GTEX-1C64N-3226-SM-7P8SN	Pituitary	Pituitary
GTEX-1C64O-0006-SM-7PC22	Blood	Whole Blood
GTEX-1C64O-0008-SM-EXUR5	Skin	Cells - Cultured fibroblasts
GTEX-1C64O-0126-SM-7SB8P	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1C64O-0226-SM-73KXB	Adipose Tissue	Adipose - Subcutaneous
GTEX-1C64O-0326-SM-73KVW	Muscle	Muscle - Skeletal
GTEX-1C64O-0426-SM-7SB8Q	Nerve	Nerve - Tibial
GTEX-1C64O-0526-SM-793D6	Blood Vessel	Artery - Tibial
GTEX-1C64O-0626-SM-7DHL1	Salivary Gland	Minor Salivary Gland
GTEX-1C64O-0726-SM-7DUFU	Breast	Breast - Mammary Tissue
GTEX-1C64O-0826-SM-79OKZ	Heart	Heart - Left Ventricle
GTEX-1C64O-0926-SM-79OLN	Heart	Heart - Atrial Appendage
GTEX-1C64O-1026-SM-7PC3L	Blood Vessel	Artery - Aorta
GTEX-1C64O-1126-SM-7IGMY	Blood Vessel	Artery - Coronary
GTEX-1C64O-1226-SM-79OOC	Lung	Lung
GTEX-1C64O-1326-SM-7MGWR	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1C64O-1426-SM-7EWER	Pancreas	Pancreas
GTEX-1C64O-1626-SM-731EN	Spleen	Spleen
GTEX-1C64O-1726-SM-73KW9	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1C64O-1826-SM-7DHM4	Esophagus	Esophagus - Mucosa
GTEX-1C64O-1926-SM-79ONP	Esophagus	Esophagus - Muscularis
GTEX-1C64O-2026-SM-7IGPA	Prostate	Prostate
GTEX-1C64O-2126-SM-7IGPB	Testis	Testis
GTEX-1C64O-2226-SM-73KTV	Stomach	Stomach
GTEX-1C64O-2326-SM-73KU8	Colon	Colon - Transverse
GTEX-1C64O-2426-SM-7P8R3	Colon	Colon - Sigmoid
GTEX-1C64O-2526-SM-79ONO	Small Intestine	Small Intestine - Terminal Ileum
GTEX-1C6VQ-0005-SM-7P8OR	Blood	Whole Blood
GTEX-1C6VQ-0008-SM-EXUR8	Skin	Cells - Cultured fibroblasts
GTEX-1C6VQ-0011-R10b-SM-7P8Q1	Brain	Brain - Frontal Cortex (BA9)
GTEX-1C6VQ-0011-R1a-SM-7P8Q2	Brain	Brain - Hippocampus
GTEX-1C6VQ-0011-R9a-SM-7SB85	Brain	Brain - Spinal cord (cervical c-1)
GTEX-1C6VQ-0126-SM-7P8RI	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1C6VQ-0226-SM-7P8S5	Adipose Tissue	Adipose - Subcutaneous
GTEX-1C6VQ-0326-SM-7DHMS	Muscle	Muscle - Skeletal
GTEX-1C6VQ-0426-SM-79OOX	Breast	Breast - Mammary Tissue
GTEX-1C6VQ-0526-SM-7MGWD	Thyroid	Thyroid
GTEX-1C6VQ-0626-SM-7EPHE	Nerve	Nerve - Tibial
GTEX-1C6VQ-0726-SM-7EPI6	Blood Vessel	Artery - Tibial
GTEX-1C6VQ-0826-SM-7PBZT	Heart	Heart - Atrial Appendage
GTEX-1C6VQ-1126-SM-7EWET	Heart	Heart - Left Ventricle
GTEX-1C6VQ-1226-SM-73KYD	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1C6VQ-1326-SM-7939X	Blood Vessel	Artery - Aorta
GTEX-1C6VQ-1526-SM-73KU9	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1C6VQ-1626-SM-79OO1	Liver	Liver
GTEX-1C6VQ-1726-SM-7IGLQ	Pancreas	Pancreas
GTEX-1C6VQ-1826-SM-7EWEH	Esophagus	Esophagus - Mucosa
GTEX-1C6VQ-1926-SM-7MGVR	Esophagus	Esophagus - Muscularis
