Rab_Gene	Hum_Gene
ENSOCUG00000000305	ENSG00000171777
ENSOCUG00000000306	ENSG00000166997
ENSOCUG00000000308	ENSG00000132612
ENSOCUG00000000308	ENSG00000260914
ENSOCUG00000000315	ENSG00000125675
ENSOCUG00000000318	ENSG00000054965
ENSOCUG00000000322	ENSG00000140694
ENSOCUG00000000323	ENSG00000095319
ENSOCUG00000000324	ENSG00000152229
ENSOCUG00000000328	ENSG00000148341
ENSOCUG00000000330	ENSG00000101074
ENSOCUG00000000331	ENSG00000129472
ENSOCUG00000000334	ENSG00000092203
ENSOCUG00000000338	ENSG00000069849
ENSOCUG00000000341	ENSG00000182732
ENSOCUG00000000342	ENSG00000110318
ENSOCUG00000000343	ENSG00000179134
ENSOCUG00000000345	ENSG00000169085
ENSOCUG00000000347	ENSG00000163463
ENSOCUG00000000349	ENSG00000163462
ENSOCUG00000000353	ENSG00000173171
ENSOCUG00000000356	ENSG00000177628
ENSOCUG00000000365	ENSG00000163743
ENSOCUG00000000368	ENSG00000174796
ENSOCUG00000000377	ENSG00000075218
ENSOCUG00000000378	ENSG00000054796
ENSOCUG00000000381	ENSG00000001461
ENSOCUG00000000382	ENSG00000146828
ENSOCUG00000000384	ENSG00000187323
ENSOCUG00000000385	ENSG00000105204
ENSOCUG00000000392	ENSG00000104442
ENSOCUG00000000401	ENSG00000160883
ENSOCUG00000000402	ENSG00000173467
ENSOCUG00000000403	ENSG00000091409
ENSOCUG00000000404	ENSG00000099991
ENSOCUG00000000405	ENSG00000116497
ENSOCUG00000000407	ENSG00000080166
ENSOCUG00000000408	ENSG00000152256
ENSOCUG00000000409	ENSG00000142173
ENSOCUG00000000410	ENSG00000133195
ENSOCUG00000000425	ENSG00000112739
ENSOCUG00000000426	ENSG00000117280
ENSOCUG00000000427	ENSG00000162877
ENSOCUG00000000432	ENSG00000129083
ENSOCUG00000000435	ENSG00000035664
ENSOCUG00000000437	ENSG00000143476
ENSOCUG00000000439	ENSG00000129084
ENSOCUG00000000440	ENSG00000172817
ENSOCUG00000000441	ENSG00000105398
ENSOCUG00000000444	ENSG00000162836
ENSOCUG00000000451	ENSG00000163508
ENSOCUG00000000455	ENSG00000148498
ENSOCUG00000000459	ENSG00000106526
ENSOCUG00000000459	ENSG00000133627
ENSOCUG00000000462	ENSG00000164830
ENSOCUG00000000466	ENSG00000164654
ENSOCUG00000000467	ENSG00000106399
ENSOCUG00000000468	ENSG00000258724
ENSOCUG00000000470	ENSG00000148803
ENSOCUG00000000472	ENSG00000135775
ENSOCUG00000000473	ENSG00000127884
ENSOCUG00000000475	ENSG00000110906
ENSOCUG00000000476	ENSG00000138685
ENSOCUG00000000477	ENSG00000125970
ENSOCUG00000000481	ENSG00000125977
ENSOCUG00000000485	ENSG00000145414
ENSOCUG00000000487	ENSG00000111325
ENSOCUG00000000489	ENSG00000143643
ENSOCUG00000000491	ENSG00000162782
ENSOCUG00000000493	ENSG00000090975
ENSOCUG00000000494	ENSG00000173409
ENSOCUG00000000495	ENSG00000111536
ENSOCUG00000000498	ENSG00000171928
ENSOCUG00000000499	ENSG00000120265
ENSOCUG00000000503	ENSG00000171853
ENSOCUG00000000507	ENSG00000137218
ENSOCUG00000000508	ENSG00000118733
ENSOCUG00000000510	ENSG00000148840
ENSOCUG00000000511	ENSG00000180957
ENSOCUG00000000513	ENSG00000146469
ENSOCUG00000000515	ENSG00000171747
ENSOCUG00000000518	ENSG00000147854
ENSOCUG00000000526	ENSG00000137509
ENSOCUG00000000527	ENSG00000151640
ENSOCUG00000000530	ENSG00000182551
ENSOCUG00000000532	ENSG00000116729
ENSOCUG00000000535	ENSG00000111863
ENSOCUG00000000536	ENSG00000140968
ENSOCUG00000000539	ENSG00000145936
ENSOCUG00000000543	ENSG00000137393
ENSOCUG00000000562	ENSG00000090621
ENSOCUG00000000564	ENSG00000140848
ENSOCUG00000000565	ENSG00000091073
ENSOCUG00000000566	ENSG00000143324
ENSOCUG00000000572	ENSG00000172775
ENSOCUG00000000573	ENSG00000159593
ENSOCUG00000000574	ENSG00000054690
ENSOCUG00000000575	ENSG00000113249
ENSOCUG00000000576	ENSG00000198040
ENSOCUG00000000577	ENSG00000159579
ENSOCUG00000000581	ENSG00000108784
ENSOCUG00000000582	ENSG00000102931
ENSOCUG00000000583	ENSG00000100564
ENSOCUG00000000584	ENSG00000081181
ENSOCUG00000000585	ENSG00000166592
ENSOCUG00000000586	ENSG00000100568
ENSOCUG00000000587	ENSG00000138246
ENSOCUG00000000590	ENSG00000072042
ENSOCUG00000000590	ENSG00000258466
ENSOCUG00000000593	ENSG00000072121
ENSOCUG00000000594	ENSG00000100150
ENSOCUG00000000594	ENSG00000285404
ENSOCUG00000000595	ENSG00000171307
ENSOCUG00000000596	ENSG00000176485
ENSOCUG00000000597	ENSG00000182185
ENSOCUG00000000602	ENSG00000087502
ENSOCUG00000000606	ENSG00000143498
ENSOCUG00000000608	ENSG00000134247
ENSOCUG00000000611	ENSG00000141756
ENSOCUG00000000612	ENSG00000134256
ENSOCUG00000000613	ENSG00000116830
ENSOCUG00000000618	ENSG00000033800
ENSOCUG00000000625	ENSG00000004766
ENSOCUG00000000628	ENSG00000090432
ENSOCUG00000000636	ENSG00000114124
ENSOCUG00000000637	ENSG00000101335
ENSOCUG00000000638	ENSG00000074047
ENSOCUG00000000645	ENSG00000130844
ENSOCUG00000000649	ENSG00000180773
ENSOCUG00000000650	ENSG00000134533
ENSOCUG00000000651	ENSG00000130164
ENSOCUG00000000653	ENSG00000165795
ENSOCUG00000000655	ENSG00000054392
ENSOCUG00000000658	ENSG00000152785
ENSOCUG00000000660	ENSG00000164458
ENSOCUG00000000661	ENSG00000082258
ENSOCUG00000000668	ENSG00000136504
ENSOCUG00000000673	ENSG00000092208
ENSOCUG00000000674	ENSG00000130037
ENSOCUG00000000676	ENSG00000006715
ENSOCUG00000000677	ENSG00000127603
ENSOCUG00000000678	ENSG00000148120
ENSOCUG00000000680	ENSG00000169895
ENSOCUG00000000681	ENSG00000086712
ENSOCUG00000000682	ENSG00000090061
ENSOCUG00000000683	ENSG00000102054
ENSOCUG00000000684	ENSG00000113407
ENSOCUG00000000687	ENSG00000104835
ENSOCUG00000000687	ENSG00000269547
ENSOCUG00000000692	ENSG00000141424
ENSOCUG00000000694	ENSG00000164039
ENSOCUG00000000695	ENSG00000162408
ENSOCUG00000000696	ENSG00000188176
ENSOCUG00000000703	ENSG00000075643
ENSOCUG00000000709	ENSG00000134779
ENSOCUG00000000711	ENSG00000150477
ENSOCUG00000000714	ENSG00000077092
ENSOCUG00000000715	ENSG00000026508
ENSOCUG00000000716	ENSG00000133106
ENSOCUG00000000717	ENSG00000077097
ENSOCUG00000000718	ENSG00000110436
ENSOCUG00000000719	ENSG00000128045
ENSOCUG00000000721	ENSG00000149090
ENSOCUG00000000722	ENSG00000184178
ENSOCUG00000000727	ENSG00000177707
ENSOCUG00000000730	ENSG00000006453
ENSOCUG00000000733	ENSG00000147996
ENSOCUG00000000733	ENSG00000196873
ENSOCUG00000000733	ENSG00000215126
ENSOCUG00000000736	ENSG00000073670
ENSOCUG00000000737	ENSG00000119508
ENSOCUG00000000739	ENSG00000165606
ENSOCUG00000000741	ENSG00000225830
ENSOCUG00000000743	ENSG00000131773
ENSOCUG00000000749	ENSG00000109854
ENSOCUG00000000750	ENSG00000185238
ENSOCUG00000000751	ENSG00000133105
ENSOCUG00000000754	ENSG00000146233
ENSOCUG00000000755	ENSG00000007541
ENSOCUG00000000756	ENSG00000070367
ENSOCUG00000000757	ENSG00000165970
ENSOCUG00000000758	ENSG00000153291
ENSOCUG00000000760	ENSG00000180113
ENSOCUG00000000763	ENSG00000146070
ENSOCUG00000000764	ENSG00000091317
ENSOCUG00000000769	ENSG00000140374
ENSOCUG00000000775	ENSG00000120907
ENSOCUG00000000776	ENSG00000174106
ENSOCUG00000000778	ENSG00000170456
ENSOCUG00000000780	ENSG00000167258
ENSOCUG00000000781	ENSG00000085365
ENSOCUG00000000784	ENSG00000153234
ENSOCUG00000000786	ENSG00000142627
ENSOCUG00000000787	ENSG00000151490
ENSOCUG00000000788	ENSG00000144644
ENSOCUG00000000789	ENSG00000120616
ENSOCUG00000000790	ENSG00000164258
ENSOCUG00000000793	ENSG00000166869
ENSOCUG00000000795	ENSG00000107372
ENSOCUG00000000796	ENSG00000130433
ENSOCUG00000000797	ENSG00000189068
ENSOCUG00000000802	ENSG00000122574
ENSOCUG00000000803	ENSG00000163635
ENSOCUG00000000804	ENSG00000136193
ENSOCUG00000000805	ENSG00000106080
ENSOCUG00000000807	ENSG00000106086
ENSOCUG00000000810	ENSG00000163637
ENSOCUG00000000811	ENSG00000162300
ENSOCUG00000000812	ENSG00000284862
ENSOCUG00000000815	ENSG00000119737
ENSOCUG00000000816	ENSG00000149823
ENSOCUG00000000817	ENSG00000008294
ENSOCUG00000000818	ENSG00000099942
ENSOCUG00000000819	ENSG00000107362
ENSOCUG00000000820	ENSG00000107672
ENSOCUG00000000825	ENSG00000138152
ENSOCUG00000000827	ENSG00000163681
ENSOCUG00000000828	ENSG00000136068
ENSOCUG00000000829	ENSG00000167600
ENSOCUG00000000831	ENSG00000163687
ENSOCUG00000000833	ENSG00000168297
ENSOCUG00000000835	ENSG00000116096
ENSOCUG00000000837	ENSG00000135631
ENSOCUG00000000847	ENSG00000153707
ENSOCUG00000000848	ENSG00000109111
ENSOCUG00000000849	ENSG00000078699
ENSOCUG00000000851	ENSG00000198242
ENSOCUG00000000861	ENSG00000085117
ENSOCUG00000000864	ENSG00000182985
ENSOCUG00000000865	ENSG00000157399
ENSOCUG00000000866	ENSG00000119401
ENSOCUG00000000867	ENSG00000147586
ENSOCUG00000000874	ENSG00000076924
ENSOCUG00000000876	ENSG00000102786
ENSOCUG00000000880	ENSG00000196924
ENSOCUG00000000881	ENSG00000151572
ENSOCUG00000000882	ENSG00000102119
ENSOCUG00000000884	ENSG00000013503
ENSOCUG00000000887	ENSG00000174099
ENSOCUG00000000888	ENSG00000174473
ENSOCUG00000000895	ENSG00000171522
ENSOCUG00000000897	ENSG00000132356
ENSOCUG00000000901	ENSG00000174938
ENSOCUG00000000905	ENSG00000174576
ENSOCUG00000000906	ENSG00000132855
ENSOCUG00000000907	ENSG00000125834
ENSOCUG00000000909	ENSG00000085382
ENSOCUG00000000910	ENSG00000102870
ENSOCUG00000000911	ENSG00000167291
ENSOCUG00000000923	ENSG00000166676
ENSOCUG00000000925	ENSG00000278311
ENSOCUG00000000927	ENSG00000143382
ENSOCUG00000000928	ENSG00000171109
ENSOCUG00000000929	ENSG00000163807
ENSOCUG00000000930	ENSG00000163808
ENSOCUG00000000931	ENSG00000114450
ENSOCUG00000000932	ENSG00000177414
ENSOCUG00000000933	ENSG00000169964
ENSOCUG00000000934	ENSG00000131409
ENSOCUG00000000937	ENSG00000163812
ENSOCUG00000000939	ENSG00000075914
ENSOCUG00000000941	ENSG00000100129
ENSOCUG00000000942	ENSG00000162521
ENSOCUG00000000943	ENSG00000162520
ENSOCUG00000000944	ENSG00000160539
ENSOCUG00000000959	ENSG00000154222
ENSOCUG00000000960	ENSG00000069188
ENSOCUG00000000963	ENSG00000134748
ENSOCUG00000000965	ENSG00000175606
ENSOCUG00000000966	ENSG00000160087
ENSOCUG00000000967	ENSG00000105402
ENSOCUG00000000968	ENSG00000175084
ENSOCUG00000000969	ENSG00000118156
ENSOCUG00000000972	ENSG00000108018
ENSOCUG00000000973	ENSG00000183166
ENSOCUG00000000977	ENSG00000165061
ENSOCUG00000000978	ENSG00000129038
ENSOCUG00000000981	ENSG00000185133
ENSOCUG00000000982	ENSG00000137038
ENSOCUG00000000986	ENSG00000075290
ENSOCUG00000000987	ENSG00000132424
ENSOCUG00000000988	ENSG00000075826
ENSOCUG00000000989	ENSG00000166136
ENSOCUG00000000989	ENSG00000255339
ENSOCUG00000000991	ENSG00000166135
ENSOCUG00000000997	ENSG00000139531
ENSOCUG00000000998	ENSG00000123374
ENSOCUG00000000999	ENSG00000185664
ENSOCUG00000001002	ENSG00000147905
ENSOCUG00000001005	ENSG00000126883
ENSOCUG00000001006	ENSG00000115353
ENSOCUG00000001011	ENSG00000162426
ENSOCUG00000001012	ENSG00000036565
ENSOCUG00000001013	ENSG00000147416
ENSOCUG00000001018	ENSG00000106633
ENSOCUG00000001020	ENSG00000127955
ENSOCUG00000001021	ENSG00000109132
ENSOCUG00000001023	ENSG00000213639
ENSOCUG00000001026	ENSG00000100034
ENSOCUG00000001030	ENSG00000164949
ENSOCUG00000001032	ENSG00000090512
ENSOCUG00000001034	ENSG00000070159
ENSOCUG00000001035	ENSG00000087116
ENSOCUG00000001039	ENSG00000197283
ENSOCUG00000001040	ENSG00000109674
ENSOCUG00000001042	ENSG00000124172
ENSOCUG00000001043	ENSG00000073712
ENSOCUG00000001047	ENSG00000102038
ENSOCUG00000001048	ENSG00000115970
ENSOCUG00000001050	ENSG00000086666
ENSOCUG00000001053	ENSG00000113272
ENSOCUG00000001057	ENSG00000139436
ENSOCUG00000001060	ENSG00000076513
ENSOCUG00000001062	ENSG00000156172
ENSOCUG00000001073	ENSG00000261609
ENSOCUG00000001078	ENSG00000166025
ENSOCUG00000001081	ENSG00000123124
ENSOCUG00000001082	ENSG00000115295
ENSOCUG00000001084	ENSG00000156239
ENSOCUG00000001088	ENSG00000102390
ENSOCUG00000001089	ENSG00000152578
ENSOCUG00000001093	ENSG00000173163
ENSOCUG00000001097	ENSG00000100532
ENSOCUG00000001098	ENSG00000197057
ENSOCUG00000001101	ENSG00000108528
ENSOCUG00000001102	ENSG00000198910
ENSOCUG00000001103	ENSG00000137752
ENSOCUG00000001104	ENSG00000108523
ENSOCUG00000001105	ENSG00000170890
ENSOCUG00000001108	ENSG00000091640
ENSOCUG00000001109	ENSG00000108509
ENSOCUG00000001110	ENSG00000153060
ENSOCUG00000001111	ENSG00000102030
ENSOCUG00000001112	ENSG00000078674
ENSOCUG00000001113	ENSG00000172534
ENSOCUG00000001114	ENSG00000125780
ENSOCUG00000001114	ENSG00000286022
ENSOCUG00000001117	ENSG00000205111
ENSOCUG00000001119	ENSG00000175110
ENSOCUG00000001120	ENSG00000184432
ENSOCUG00000001121	ENSG00000138363
ENSOCUG00000001124	ENSG00000104427
ENSOCUG00000001125	ENSG00000155636
ENSOCUG00000001127	ENSG00000119729
ENSOCUG00000001129	ENSG00000091138
ENSOCUG00000001131	ENSG00000135048
ENSOCUG00000001138	ENSG00000141510
ENSOCUG00000001142	ENSG00000071189
ENSOCUG00000001150	ENSG00000171115
ENSOCUG00000001151	ENSG00000070190
ENSOCUG00000001155	ENSG00000167004
ENSOCUG00000001157	ENSG00000123407
ENSOCUG00000001160	ENSG00000180806
ENSOCUG00000001164	ENSG00000004487
ENSOCUG00000001166	ENSG00000198912
ENSOCUG00000001168	ENSG00000169641
ENSOCUG00000001169	ENSG00000143248
ENSOCUG00000001170	ENSG00000274523
ENSOCUG00000001171	ENSG00000143228
ENSOCUG00000001175	ENSG00000206527
ENSOCUG00000001180	ENSG00000174953
ENSOCUG00000001181	ENSG00000111816
ENSOCUG00000001184	ENSG00000178425
ENSOCUG00000001186	ENSG00000099904
ENSOCUG00000001191	ENSG00000102897
ENSOCUG00000001197	ENSG00000147100
ENSOCUG00000001200	ENSG00000198818
ENSOCUG00000001203	ENSG00000127124
ENSOCUG00000001211	ENSG00000130770
ENSOCUG00000001215	ENSG00000110422
ENSOCUG00000001217	ENSG00000136536
ENSOCUG00000001219	ENSG00000155903
ENSOCUG00000001220	ENSG00000130640
ENSOCUG00000001228	ENSG00000013016
ENSOCUG00000001230	ENSG00000158125
ENSOCUG00000001232	ENSG00000182899
ENSOCUG00000001234	ENSG00000172548
ENSOCUG00000001235	ENSG00000135074
ENSOCUG00000001236	ENSG00000277893
ENSOCUG00000001239	ENSG00000146555
ENSOCUG00000001241	ENSG00000174514
ENSOCUG00000001242	ENSG00000103067
ENSOCUG00000001247	ENSG00000105983
ENSOCUG00000001250	ENSG00000151617
ENSOCUG00000001254	ENSG00000070371
ENSOCUG00000001257	ENSG00000164124
ENSOCUG00000001264	ENSG00000164309
ENSOCUG00000001266	ENSG00000154174
ENSOCUG00000001269	ENSG00000112992
ENSOCUG00000001270	ENSG00000124333
ENSOCUG00000001272	ENSG00000118855
ENSOCUG00000001277	ENSG00000123119
ENSOCUG00000001280	ENSG00000080824
ENSOCUG00000001281	ENSG00000140153
ENSOCUG00000001284	ENSG00000138802
ENSOCUG00000001286	ENSG00000230989
ENSOCUG00000001289	ENSG00000138758
ENSOCUG00000001292	ENSG00000111321
ENSOCUG00000001295	ENSG00000070501
ENSOCUG00000001296	ENSG00000069812
ENSOCUG00000001299	ENSG00000133816
ENSOCUG00000001301	ENSG00000172179
ENSOCUG00000001303	ENSG00000183172
ENSOCUG00000001304	ENSG00000135439
ENSOCUG00000001306	ENSG00000172296
ENSOCUG00000001307	ENSG00000175274
ENSOCUG00000001309	ENSG00000101230
ENSOCUG00000001310	ENSG00000089123
ENSOCUG00000001315	ENSG00000064607
ENSOCUG00000001322	ENSG00000110887
ENSOCUG00000001326	ENSG00000196189
ENSOCUG00000001328	ENSG00000197969
ENSOCUG00000001334	ENSG00000168003
ENSOCUG00000001336	ENSG00000159314
ENSOCUG00000001337	ENSG00000169116
ENSOCUG00000001341	ENSG00000143006
ENSOCUG00000001343	ENSG00000144711
ENSOCUG00000001349	ENSG00000100320
ENSOCUG00000001351	ENSG00000153283
ENSOCUG00000001352	ENSG00000155256
ENSOCUG00000001353	ENSG00000154277
ENSOCUG00000001357	ENSG00000138668
ENSOCUG00000001362	ENSG00000259494
ENSOCUG00000001373	ENSG00000078725
ENSOCUG00000001374	ENSG00000165409
ENSOCUG00000001375	ENSG00000099194
ENSOCUG00000001378	ENSG00000101292
ENSOCUG00000001380	ENSG00000152969
ENSOCUG00000001385	ENSG00000143450
ENSOCUG00000001386	ENSG00000077063
ENSOCUG00000001387	ENSG00000182134
ENSOCUG00000001391	ENSG00000131931
ENSOCUG00000001397	ENSG00000100258
ENSOCUG00000001398	ENSG00000135372
ENSOCUG00000001401	ENSG00000025770
ENSOCUG00000001402	ENSG00000168172
ENSOCUG00000001409	ENSG00000072134
ENSOCUG00000001412	ENSG00000167779
ENSOCUG00000001414	ENSG00000174243
ENSOCUG00000001418	ENSG00000115233
ENSOCUG00000001424	ENSG00000125879
ENSOCUG00000001425	ENSG00000151445
ENSOCUG00000001427	ENSG00000125870
ENSOCUG00000001428	ENSG00000065989
ENSOCUG00000001429	ENSG00000189221
ENSOCUG00000001430	ENSG00000100591
ENSOCUG00000001434	ENSG00000100596
ENSOCUG00000001436	ENSG00000069535
ENSOCUG00000001439	ENSG00000083857
ENSOCUG00000001440	ENSG00000074771
ENSOCUG00000001444	ENSG00000130338
ENSOCUG00000001446	ENSG00000180776
ENSOCUG00000001448	ENSG00000150401
ENSOCUG00000001454	ENSG00000132688
ENSOCUG00000001455	ENSG00000105220
ENSOCUG00000001459	ENSG00000143319
ENSOCUG00000001460	ENSG00000143303
ENSOCUG00000001461	ENSG00000152952
ENSOCUG00000001464	ENSG00000126261
ENSOCUG00000001465	ENSG00000182752
ENSOCUG00000001467	ENSG00000164741
ENSOCUG00000001468	ENSG00000168036
ENSOCUG00000001475	ENSG00000146535
ENSOCUG00000001478	ENSG00000169359
ENSOCUG00000001478	ENSG00000284952
ENSOCUG00000001479	ENSG00000179222
ENSOCUG00000001480	ENSG00000163655
ENSOCUG00000001481	ENSG00000111913
ENSOCUG00000001489	ENSG00000069122
ENSOCUG00000001490	ENSG00000185436
ENSOCUG00000001496	ENSG00000084090
ENSOCUG00000001497	ENSG00000164434
ENSOCUG00000001500	ENSG00000169189
ENSOCUG00000001501	ENSG00000172594
ENSOCUG00000001513	ENSG00000122958
ENSOCUG00000001523	ENSG00000213204
ENSOCUG00000001523	ENSG00000272514
ENSOCUG00000001526	ENSG00000143028
ENSOCUG00000001530	ENSG00000031823
ENSOCUG00000001540	ENSG00000138166
ENSOCUG00000001543	ENSG00000148541
ENSOCUG00000001545	ENSG00000186666
ENSOCUG00000001551	ENSG00000116871
ENSOCUG00000001552	ENSG00000138376
ENSOCUG00000001553	ENSG00000107798
ENSOCUG00000001554	ENSG00000170921
ENSOCUG00000001555	ENSG00000159640
ENSOCUG00000001560	ENSG00000112640
ENSOCUG00000001570	ENSG00000240224
ENSOCUG00000001570	ENSG00000243135
ENSOCUG00000001570	ENSG00000244474
ENSOCUG00000001571	ENSG00000002549
ENSOCUG00000001576	ENSG00000118579
ENSOCUG00000001577	ENSG00000180205
ENSOCUG00000001578	ENSG00000044090
ENSOCUG00000001581	ENSG00000109065
ENSOCUG00000001582	ENSG00000047662
ENSOCUG00000001583	ENSG00000109066
ENSOCUG00000001585	ENSG00000101146
ENSOCUG00000001586	ENSG00000112651
ENSOCUG00000001590	ENSG00000137171
ENSOCUG00000001591	ENSG00000101493
ENSOCUG00000001592	ENSG00000130254
ENSOCUG00000001597	ENSG00000134028
ENSOCUG00000001598	ENSG00000145730
ENSOCUG00000001605	ENSG00000164366
ENSOCUG00000001606	ENSG00000112306
ENSOCUG00000001609	ENSG00000106328
ENSOCUG00000001610	ENSG00000145725
ENSOCUG00000001616	ENSG00000099139
ENSOCUG00000001617	ENSG00000102043
ENSOCUG00000001618	ENSG00000019991
ENSOCUG00000001620	ENSG00000197157
ENSOCUG00000001622	ENSG00000135002
ENSOCUG00000001627	ENSG00000132164
ENSOCUG00000001629	ENSG00000150316
ENSOCUG00000001636	ENSG00000011260
ENSOCUG00000001638	ENSG00000172987
ENSOCUG00000001645	ENSG00000075785
ENSOCUG00000001647	ENSG00000166035
ENSOCUG00000001651	ENSG00000113441
ENSOCUG00000001656	ENSG00000058729
ENSOCUG00000001659	ENSG00000164266
ENSOCUG00000001661	ENSG00000155660
ENSOCUG00000001663	ENSG00000127318
ENSOCUG00000001667	ENSG00000167986
ENSOCUG00000001669	ENSG00000197362
ENSOCUG00000001676	ENSG00000106462
ENSOCUG00000001677	ENSG00000162144
ENSOCUG00000001683	ENSG00000167985
ENSOCUG00000001683	ENSG00000256591
ENSOCUG00000001685	ENSG00000092068
ENSOCUG00000001686	ENSG00000114439
ENSOCUG00000001687	ENSG00000164808
ENSOCUG00000001691	ENSG00000184743
ENSOCUG00000001697	ENSG00000152894
ENSOCUG00000001698	ENSG00000135341
ENSOCUG00000001699	ENSG00000128607
ENSOCUG00000001701	ENSG00000103241
ENSOCUG00000001711	ENSG00000067445
ENSOCUG00000001712	ENSG00000115364
ENSOCUG00000001714	ENSG00000095110
ENSOCUG00000001715	ENSG00000005436
ENSOCUG00000001717	ENSG00000141293
ENSOCUG00000001718	ENSG00000135018
ENSOCUG00000001724	ENSG00000167157
