A1BG	ENSG00000121410	ENST00000263100
AAMDC	ENSG00000087884	ENST00000526415
AAMDC	ENSG00000087884	ENST00000393427
AAMDC	ENSG00000087884	ENST00000526164
AAMP	ENSG00000127837	ENST00000422731
AAMP	ENSG00000127837	ENST00000420660
AAMP	ENSG00000127837	ENST00000447885
AAMP	ENSG00000127837	ENST00000444053
AANAT	ENSG00000129673	ENST00000585649
AANAT	ENSG00000129673	ENST00000392492
AANAT	ENSG00000129673	ENST00000250615
AAR2	ENSG00000131043	ENST00000679519
AAR2	ENSG00000131043	ENST00000680247
AAR2	ENSG00000131043	ENST00000680811
AAR2	ENSG00000131043	ENST00000679667
AAR2	ENSG00000131043	ENST00000680933
AAR2	ENSG00000131043	ENST00000680412
AAR2	ENSG00000131043	ENST00000397286
AAR2	ENSG00000131043	ENST00000680639
AAR2	ENSG00000131043	ENST00000373932
AAR2	ENSG00000131043	ENST00000320849
AARD	ENSG00000205002	ENST00000378279
AARS1	ENSG00000090861	ENST00000675691
AARS1	ENSG00000090861	ENST00000675371
AARS1	ENSG00000090861	ENST00000675035
AARS1	ENSG00000090861	ENST00000674768
AARS1	ENSG00000090861	ENST00000674811
AARS1	ENSG00000090861	ENST00000675853
AARS1	ENSG00000090861	ENST00000674652
AARS1	ENSG00000090861	ENST00000676211
AARS1	ENSG00000090861	ENST00000675120
AARS1	ENSG00000090861	ENST00000676212
AARS1	ENSG00000090861	ENST00000675643
AARS1	ENSG00000090861	ENST00000675045
AARS1	ENSG00000090861	ENST00000674691
AARS1	ENSG00000090861	ENST00000676168
AARS1	ENSG00000090861	ENST00000674512
AARS1	ENSG00000090861	ENST00000261772
AARS1	ENSG00000090861	ENST00000676004
AARS1	ENSG00000090861	ENST00000675953
AARS1	ENSG00000090861	ENST00000676209
AARS1	ENSG00000090861	ENST00000676040
AARS1	ENSG00000090861	ENST00000674963
AARS1	ENSG00000090861	ENST00000565361
AARS1	ENSG00000090861	ENST00000675751
AARS1	ENSG00000090861	ENST00000676247
AARS1	ENSG00000090861	ENST00000675133
AARS1	ENSG00000090861	ENST00000675297
AARS1	ENSG00000090861	ENST00000675569
AARS2	ENSG00000124608	ENST00000244571
AARSD1	ENSG00000266967	ENST00000591096
AARSD1	ENSG00000266967	ENST00000591910
AARSD1	ENSG00000266967	ENST00000427569
AARSD1	ENSG00000266967	ENST00000450475
AARSD1	ENSG00000266967	ENST00000430739
AASDH	ENSG00000157426	ENST00000513376
AASDH	ENSG00000157426	ENST00000502617
AASDH	ENSG00000157426	ENST00000205214
AASDH	ENSG00000157426	ENST00000514745
AASDH	ENSG00000157426	ENST00000602986
AASDH	ENSG00000157426	ENST00000503808
AASDH	ENSG00000157426	ENST00000451613
AASDHPPT	ENSG00000149313	ENST00000524411
AASDHPPT	ENSG00000149313	ENST00000525660
AASS	ENSG00000008311	ENST00000679659
AASS	ENSG00000008311	ENST00000417368
AASS	ENSG00000008311	ENST00000679419
AASS	ENSG00000008311	ENST00000431170
AASS	ENSG00000008311	ENST00000681907
AASS	ENSG00000008311	ENST00000681511
AASS	ENSG00000008311	ENST00000681626
AASS	ENSG00000008311	ENST00000681434
AASS	ENSG00000008311	ENST00000681318
AASS	ENSG00000008311	ENST00000681213
AASS	ENSG00000008311	ENST00000393376
AASS	ENSG00000008311	ENST00000680080
AASS	ENSG00000008311	ENST00000681314
AASS	ENSG00000008311	ENST00000679579
AASS	ENSG00000008311	ENST00000679764
AASS	ENSG00000008311	ENST00000679721
AASS	ENSG00000008311	ENST00000358954
AASS	ENSG00000008311	ENST00000679847
AASS	ENSG00000008311	ENST00000473553
AASS	ENSG00000008311	ENST00000679511
AASS	ENSG00000008311	ENST00000681387
AASS	ENSG00000008311	ENST00000679864
AATF	ENSG00000275700	ENST00000680330
AATF	ENSG00000275700	ENST00000680356
AATF	ENSG00000275700	ENST00000613840
AATF	ENSG00000275700	ENST00000681062
AATF	ENSG00000275700	ENST00000680782
AATF	ENSG00000275700	ENST00000679997
AATF	ENSG00000275700	ENST00000610798
AATF	ENSG00000275700	ENST00000680340
AATF	ENSG00000275700	ENST00000679881
AATF	ENSG00000275700	ENST00000616434
AATF	ENSG00000275700	ENST00000680579
AATF	ENSG00000275700	ENST00000619387
AATK	ENSG00000181409	ENST00000326724
AATK	ENSG00000181409	ENST00000576053
AATK	ENSG00000181409	ENST00000417379
AATK	ENSG00000181409	ENST00000650574
AATK	ENSG00000181409	ENST00000570932
ABAT	ENSG00000183044	ENST00000568847
ABAT	ENSG00000183044	ENST00000564714
ABAT	ENSG00000183044	ENST00000268251
ABAT	ENSG00000183044	ENST00000566590
ABAT	ENSG00000183044	ENST00000565016
ABAT	ENSG00000183044	ENST00000562115
ABAT	ENSG00000183044	ENST00000425191
ABCA1	ENSG00000165029	ENST00000374736
ABCA1	ENSG00000165029	ENST00000423487
ABCA1	ENSG00000165029	ENST00000374733
ABCA1	ENSG00000165029	ENST00000678995
ABCA10	ENSG00000154263	ENST00000269081
ABCA10	ENSG00000154263	ENST00000523512
ABCA10	ENSG00000154263	ENST00000522406
ABCA10	ENSG00000154263	ENST00000521538
ABCA10	ENSG00000154263	ENST00000690296
ABCA10	ENSG00000154263	ENST00000523419
ABCA10	ENSG00000154263	ENST00000522787
ABCA10	ENSG00000154263	ENST00000518929
ABCA10	ENSG00000154263	ENST00000524273
ABCA12	ENSG00000144452	ENST00000389661
ABCA12	ENSG00000144452	ENST00000412081
ABCA12	ENSG00000144452	ENST00000272895
ABCA13	ENSG00000179869	ENST00000411975
ABCA13	ENSG00000179869	ENST00000435803
ABCA13	ENSG00000179869	ENST00000417403
ABCA13	ENSG00000179869	ENST00000544596
ABCA13	ENSG00000179869	ENST00000453246
ABCA2	ENSG00000107331	ENST00000490486
ABCA2	ENSG00000107331	ENST00000470535
ABCA2	ENSG00000107331	ENST00000341511
ABCA2	ENSG00000107331	ENST00000487109
ABCA2	ENSG00000107331	ENST00000371605
ABCA2	ENSG00000107331	ENST00000479446
ABCA2	ENSG00000107331	ENST00000488535
ABCA2	ENSG00000107331	ENST00000614293
ABCA3	ENSG00000167972	ENST00000301732
ABCA3	ENSG00000167972	ENST00000567910
ABCA3	ENSG00000167972	ENST00000382381
ABCA4	ENSG00000198691	ENST00000649773
ABCA4	ENSG00000198691	ENST00000370225
ABCA5	ENSG00000154265	ENST00000591234
ABCA5	ENSG00000154265	ENST00000588877
ABCA5	ENSG00000154265	ENST00000589975
ABCA5	ENSG00000154265	ENST00000592568
ABCA5	ENSG00000154265	ENST00000593153
ABCA6	ENSG00000154262	ENST00000590645
ABCA6	ENSG00000154262	ENST00000284425
ABCA7	ENSG00000064687	ENST00000263094
ABCA7	ENSG00000064687	ENST00000612569
ABCA7	ENSG00000064687	ENST00000530092
ABCA7	ENSG00000064687	ENST00000531467
ABCA7	ENSG00000064687	ENST00000524850
ABCA7	ENSG00000064687	ENST00000525073
ABCA8	ENSG00000141338	ENST00000269080
ABCA8	ENSG00000141338	ENST00000586539
ABCA8	ENSG00000141338	ENST00000585531
ABCA9	ENSG00000154258	ENST00000453985
ABCA9	ENSG00000154258	ENST00000585714
ABCA9	ENSG00000154258	ENST00000495634
ABCB1	ENSG00000085563	ENST00000265724
ABCB1	ENSG00000085563	ENST00000543898
ABCB1	ENSG00000085563	ENST00000622132
ABCB10	ENSG00000135776	ENST00000344517
ABCB11	ENSG00000073734	ENST00000649448
ABCB11	ENSG00000073734	ENST00000647920
ABCB11	ENSG00000073734	ENST00000650372
ABCB11	ENSG00000073734	ENST00000439188
ABCB11	ENSG00000073734	ENST00000648875
ABCB4	ENSG00000005471	ENST00000644106
ABCB4	ENSG00000005471	ENST00000359206
ABCB4	ENSG00000005471	ENST00000649586
ABCB4	ENSG00000005471	ENST00000643670
ABCB4	ENSG00000005471	ENST00000265723
ABCB4	ENSG00000005471	ENST00000417608
ABCB5	ENSG00000004846	ENST00000406935
ABCB5	ENSG00000004846	ENST00000404938
ABCB5	ENSG00000004846	ENST00000443026
ABCB5	ENSG00000004846	ENST00000441315
ABCB6	ENSG00000115657	ENST00000295750
ABCB6	ENSG00000115657	ENST00000443805
ABCB6	ENSG00000115657	ENST00000452545
ABCB6	ENSG00000115657	ENST00000265316
ABCB6	ENSG00000115657	ENST00000448398
ABCB6	ENSG00000115657	ENST00000417678
ABCB7	ENSG00000131269	ENST00000643632
ABCB7	ENSG00000131269	ENST00000534524
ABCB7	ENSG00000131269	ENST00000534570
ABCB7	ENSG00000131269	ENST00000669573
ABCB7	ENSG00000131269	ENST00000373394
ABCB7	ENSG00000131269	ENST00000645829
ABCB7	ENSG00000131269	ENST00000644766
ABCB7	ENSG00000131269	ENST00000526404
ABCB8	ENSG00000197150	ENST00000482309
ABCB8	ENSG00000197150	ENST00000491920
ABCB8	ENSG00000197150	ENST00000489192
ABCB8	ENSG00000197150	ENST00000466514
ABCB8	ENSG00000197150	ENST00000542328
ABCB8	ENSG00000197150	ENST00000358849
ABCB8	ENSG00000197150	ENST00000477719
ABCB8	ENSG00000197150	ENST00000297504
ABCB8	ENSG00000197150	ENST00000470645
ABCB8	ENSG00000197150	ENST00000477092
ABCB8	ENSG00000197150	ENST00000461373
ABCB8	ENSG00000197150	ENST00000498578
ABCB9	ENSG00000150967	ENST00000542448
ABCB9	ENSG00000150967	ENST00000540971
ABCB9	ENSG00000150967	ENST00000392439
ABCB9	ENSG00000150967	ENST00000545373
ABCB9	ENSG00000150967	ENST00000540285
ABCB9	ENSG00000150967	ENST00000543935
ABCB9	ENSG00000150967	ENST00000541424
ABCB9	ENSG00000150967	ENST00000344275
ABCB9	ENSG00000150967	ENST00000546289
ABCC1	ENSG00000103222	ENST00000399410
ABCC1	ENSG00000103222	ENST00000572882
ABCC1	ENSG00000103222	ENST00000677164
ABCC1	ENSG00000103222	ENST00000678422
ABCC1	ENSG00000103222	ENST00000399408
ABCC10	ENSG00000124574	ENST00000372515
ABCC10	ENSG00000124574	ENST00000372530
ABCC10	ENSG00000124574	ENST00000505344
ABCC11	ENSG00000121270	ENST00000353782
ABCC11	ENSG00000121270	ENST00000356608
ABCC11	ENSG00000121270	ENST00000394748
ABCC11	ENSG00000121270	ENST00000569991
ABCC12	ENSG00000140798	ENST00000527640
ABCC12	ENSG00000140798	ENST00000311303
ABCC12	ENSG00000140798	ENST00000533639
ABCC12	ENSG00000140798	ENST00000689320
ABCC12	ENSG00000140798	ENST00000529084
ABCC12	ENSG00000140798	ENST00000649885
ABCC12	ENSG00000140798	ENST00000529504
ABCC12	ENSG00000140798	ENST00000528693
ABCC2	ENSG00000023839	ENST00000649932
ABCC2	ENSG00000023839	ENST00000649493
ABCC2	ENSG00000023839	ENST00000648324
ABCC2	ENSG00000023839	ENST00000648523
ABCC2	ENSG00000023839	ENST00000648689
ABCC2	ENSG00000023839	ENST00000647814
ABCC3	ENSG00000108846	ENST00000510633
ABCC3	ENSG00000108846	ENST00000513511
ABCC3	ENSG00000108846	ENST00000427699
ABCC3	ENSG00000108846	ENST00000515707
ABCC3	ENSG00000108846	ENST00000285238
ABCC3	ENSG00000108846	ENST00000515585
ABCC3	ENSG00000108846	ENST00000505699
ABCC3	ENSG00000108846	ENST00000502426
ABCC4	ENSG00000125257	ENST00000642524
ABCC4	ENSG00000125257	ENST00000643051
ABCC4	ENSG00000125257	ENST00000643556
ABCC4	ENSG00000125257	ENST00000643842
ABCC4	ENSG00000125257	ENST00000536256
ABCC4	ENSG00000125257	ENST00000645532
ABCC4	ENSG00000125257	ENST00000629385
ABCC4	ENSG00000125257	ENST00000646439
ABCC5	ENSG00000114770	ENST00000392579
ABCC5	ENSG00000114770	ENST00000437341
ABCC5	ENSG00000114770	ENST00000334444
ABCC5	ENSG00000114770	ENST00000443497
ABCC5	ENSG00000114770	ENST00000446941
ABCC5	ENSG00000114770	ENST00000437205
ABCC5	ENSG00000114770	ENST00000427120
ABCC5	ENSG00000114770	ENST00000382494
ABCC5	ENSG00000114770	ENST00000438979
ABCC5	ENSG00000114770	ENST00000443376
ABCC6	ENSG00000091262	ENST00000622290
ABCC6	ENSG00000091262	ENST00000205557
ABCC6	ENSG00000091262	ENST00000456970
ABCC6	ENSG00000091262	ENST00000575728
ABCC6	ENSG00000091262	ENST00000574094
ABCC6	ENSG00000091262	ENST00000577103
ABCC8	ENSG00000006071	ENST00000646993
ABCC8	ENSG00000006071	ENST00000643260
ABCC8	ENSG00000006071	ENST00000646207
ABCC8	ENSG00000006071	ENST00000646592
ABCC8	ENSG00000006071	ENST00000684571
ABCC8	ENSG00000006071	ENST00000682140
ABCC8	ENSG00000006071	ENST00000683725
ABCC8	ENSG00000006071	ENST00000531642
ABCC8	ENSG00000006071	ENST00000682288
ABCC8	ENSG00000006071	ENST00000684288
ABCC8	ENSG00000006071	ENST00000643925
ABCC8	ENSG00000006071	ENST00000526168
ABCC8	ENSG00000006071	ENST00000646902
ABCC8	ENSG00000006071	ENST00000532728
ABCC8	ENSG00000006071	ENST00000646276
ABCC8	ENSG00000006071	ENST00000645417
ABCC8	ENSG00000006071	ENST00000684593
ABCC8	ENSG00000006071	ENST00000682204
ABCC8	ENSG00000006071	ENST00000527905
ABCC8	ENSG00000006071	ENST00000528374
ABCC8	ENSG00000006071	ENST00000389817
ABCC8	ENSG00000006071	ENST00000683136
ABCC8	ENSG00000006071	ENST00000645760
ABCC8	ENSG00000006071	ENST00000646003
ABCC8	ENSG00000006071	ENST00000683456
ABCC8	ENSG00000006071	ENST00000684555
ABCC8	ENSG00000006071	ENST00000644675
ABCC8	ENSG00000006071	ENST00000644772
ABCC8	ENSG00000006071	ENST00000644472
ABCC8	ENSG00000006071	ENST00000683562
ABCC8	ENSG00000006071	ENST00000644542
ABCC8	ENSG00000006071	ENST00000647015
ABCC8	ENSG00000006071	ENST00000647013
ABCC8	ENSG00000006071	ENST00000645744
ABCC8	ENSG00000006071	ENST00000642271
ABCC8	ENSG00000006071	ENST00000647158
ABCC8	ENSG00000006071	ENST00000531891
ABCC8	ENSG00000006071	ENST00000644484
ABCC8	ENSG00000006071	ENST00000645076
ABCC8	ENSG00000006071	ENST00000644447
ABCC8	ENSG00000006071	ENST00000645884
ABCC8	ENSG00000006071	ENST00000643562
ABCC8	ENSG00000006071	ENST00000644757
ABCC8	ENSG00000006071	ENST00000647086
ABCC8	ENSG00000006071	ENST00000642579
ABCC8	ENSG00000006071	ENST00000682965
ABCC8	ENSG00000006071	ENST00000302539
ABCC8	ENSG00000006071	ENST00000684711
ABCC8	ENSG00000006071	ENST00000642902
ABCC8	ENSG00000006071	ENST00000646737
ABCC9	ENSG00000069431	ENST00000684435
ABCC9	ENSG00000069431	ENST00000261200
ABCC9	ENSG00000069431	ENST00000261201
ABCC9	ENSG00000069431	ENST00000636888
ABCC9	ENSG00000069431	ENST00000683676
ABCC9	ENSG00000069431	ENST00000683105
ABCC9	ENSG00000069431	ENST00000682879
ABCC9	ENSG00000069431	ENST00000326684
ABCC9	ENSG00000069431	ENST00000684084
ABCC9	ENSG00000069431	ENST00000621589
ABCC9	ENSG00000069431	ENST00000682068
ABCC9	ENSG00000069431	ENST00000538350
ABCD1	ENSG00000101986	ENST00000218104
ABCD1	ENSG00000101986	ENST00000370129
ABCD2	ENSG00000173208	ENST00000308666
ABCD3	ENSG00000117528	ENST00000647998
ABCD3	ENSG00000117528	ENST00000315713
ABCD3	ENSG00000117528	ENST00000370214
ABCD4	ENSG00000119688	ENST00000481348
ABCD4	ENSG00000119688	ENST00000356924
ABCD4	ENSG00000119688	ENST00000474270
ABCD4	ENSG00000119688	ENST00000556119
ABCD4	ENSG00000119688	ENST00000555904
ABCD4	ENSG00000119688	ENST00000470637
ABCD4	ENSG00000119688	ENST00000553998
ABCD4	ENSG00000119688	ENST00000460308
ABCD4	ENSG00000119688	ENST00000553745
ABCD4	ENSG00000119688	ENST00000481935
ABCD4	ENSG00000119688	ENST00000556971
ABCD4	ENSG00000119688	ENST00000554453
ABCD4	ENSG00000119688	ENST00000469672
ABCD4	ENSG00000119688	ENST00000553486
ABCD4	ENSG00000119688	ENST00000555617
ABCD4	ENSG00000119688	ENST00000557588
ABCD4	ENSG00000119688	ENST00000556517
ABCE1	ENSG00000164163	ENST00000507193
ABCE1	ENSG00000164163	ENST00000296577
ABCE1	ENSG00000164163	ENST00000504292
ABCF1	ENSG00000204574	ENST00000468958
ABCF1	ENSG00000204574	ENST00000326195
ABCF1	ENSG00000204574	ENST00000376545
ABCF1	ENSG00000204574	ENST00000441867
ABCF2	ENSG00000033050	ENST00000468073
ABCF2-H2BK1	ENSG00000285292	ENST00000222388
ABCF3	ENSG00000161204	ENST00000429586
ABCF3	ENSG00000161204	ENST00000421340
ABCF3	ENSG00000161204	ENST00000292808
ABCG1	ENSG00000160179	ENST00000398437
ABCG1	ENSG00000160179	ENST00000343687
ABCG1	ENSG00000160179	ENST00000398457
ABCG1	ENSG00000160179	ENST00000398449
ABCG1	ENSG00000160179	ENST00000347800
ABCG1	ENSG00000160179	ENST00000450121
ABCG2	ENSG00000118777	ENST00000237612
ABCG2	ENSG00000118777	ENST00000515655
ABCG2	ENSG00000118777	ENST00000505480
ABCG4	ENSG00000172350	ENST00000615496
ABCG4	ENSG00000172350	ENST00000524604
ABCG4	ENSG00000172350	ENST00000622721
ABCG5	ENSG00000138075	ENST00000405322
ABCG8	ENSG00000143921	ENST00000272286
ABHD1	ENSG00000143994	ENST00000416071
ABHD1	ENSG00000143994	ENST00000448950
ABHD1	ENSG00000143994	ENST00000420647
ABHD10	ENSG00000144827	ENST00000493784
ABHD10	ENSG00000144827	ENST00000494817
ABHD10	ENSG00000144827	ENST00000491580
ABHD10	ENSG00000144827	ENST00000273359
ABHD11	ENSG00000106077	ENST00000474130
ABHD11	ENSG00000106077	ENST00000395147
ABHD11	ENSG00000106077	ENST00000357419
ABHD11	ENSG00000106077	ENST00000222800
ABHD11	ENSG00000106077	ENST00000412965
ABHD11	ENSG00000106077	ENST00000437891
ABHD11	ENSG00000106077	ENST00000458339
ABHD11	ENSG00000106077	ENST00000437775
ABHD12	ENSG00000100997	ENST00000673094
ABHD12	ENSG00000100997	ENST00000672871
ABHD12	ENSG00000100997	ENST00000672331
ABHD12	ENSG00000100997	ENST00000450393
ABHD12	ENSG00000100997	ENST00000672566
ABHD12	ENSG00000100997	ENST00000376542
ABHD12	ENSG00000100997	ENST00000491682
ABHD12	ENSG00000100997	ENST00000671784
ABHD12	ENSG00000100997	ENST00000465694
ABHD12	ENSG00000100997	ENST00000673524
ABHD12	ENSG00000100997	ENST00000672258
ABHD12	ENSG00000100997	ENST00000672406
ABHD12	ENSG00000100997	ENST00000672114
ABHD12	ENSG00000100997	ENST00000673227
ABHD12	ENSG00000100997	ENST00000339157
ABHD12	ENSG00000100997	ENST00000672358
ABHD12	ENSG00000100997	ENST00000671858
ABHD12	ENSG00000100997	ENST00000576316
ABHD12	ENSG00000100997	ENST00000673121
ABHD12B	ENSG00000131969	ENST00000557345
ABHD12B	ENSG00000131969	ENST00000382029
ABHD12B	ENSG00000131969	ENST00000337334
ABHD12B	ENSG00000131969	ENST00000353130
ABHD13	ENSG00000139826	ENST00000375898
ABHD14A	ENSG00000248487	ENST00000494478
ABHD14A	ENSG00000248487	ENST00000491470
ABHD14A-ACY1	ENSG00000114786	ENST00000636942
ABHD14A-ACY1	ENSG00000114786	ENST00000637025
ABHD14A-ACY1	ENSG00000114786	ENST00000637778
ABHD14A-ACY1	ENSG00000114786	ENST00000636264
ABHD14A-ACY1	ENSG00000114786	ENST00000636490
ABHD14A-ACY1	ENSG00000114786	ENST00000637130
ABHD14A-ACY1	ENSG00000114786	ENST00000636718
ABHD14A-ACY1	ENSG00000114786	ENST00000635937
ABHD14A-ACY1	ENSG00000114786	ENST00000637563
ABHD14A-ACY1	ENSG00000114786	ENST00000637512
ABHD14A-ACY1	ENSG00000114786	ENST00000635952
ABHD14A-ACY1	ENSG00000114786	ENST00000635951
ABHD14A-ACY1	ENSG00000114786	ENST00000637696
ABHD14A-ACY1	ENSG00000114786	ENST00000637730
ABHD14A-ACY1	ENSG00000114786	ENST00000486081
ABHD14A-ACY1	ENSG00000114786	ENST00000636085
ABHD14A-ACY1	ENSG00000114786	ENST00000637222
ABHD14A-ACY1	ENSG00000114786	ENST00000636089
ABHD14A-ACY1	ENSG00000114786	ENST00000463937
ABHD14A-ACY1	ENSG00000114786	ENST00000636646
ABHD14A-ACY1	ENSG00000114786	ENST00000463721
ABHD14A-ACY1	ENSG00000114786	ENST00000636826
ABHD14A-ACY1	ENSG00000114786	ENST00000636660
ABHD14A-ACY1	ENSG00000114786	ENST00000637461
ABHD14B	ENSG00000114779	ENST00000361143
ABHD14B	ENSG00000114779	ENST00000315877
ABHD14B	ENSG00000114779	ENST00000461108
ABHD14B	ENSG00000114779	ENST00000483233
ABHD14B	ENSG00000114779	ENST00000525795
ABHD14B	ENSG00000114779	ENST00000395008
ABHD15	ENSG00000168792	ENST00000307201
ABHD16A	ENSG00000204427	ENST00000492084
ABHD16A	ENSG00000204427	ENST00000498420
ABHD16A	ENSG00000204427	ENST00000495769
ABHD16A	ENSG00000204427	ENST00000395952
ABHD16A	ENSG00000204427	ENST00000468037
ABHD16A	ENSG00000204427	ENST00000477462
ABHD16A	ENSG00000204427	ENST00000482224
ABHD16A	ENSG00000204427	ENST00000440843
ABHD16B	ENSG00000183260	ENST00000369916
ABHD17A	ENSG00000129968	ENST00000676686
ABHD17A	ENSG00000129968	ENST00000292577
ABHD17A	ENSG00000129968	ENST00000250974
ABHD17A	ENSG00000129968	ENST00000590661
ABHD17A	ENSG00000129968	ENST00000677868
ABHD17A	ENSG00000129968	ENST00000592757
ABHD17B	ENSG00000107362	ENST00000377041
ABHD17B	ENSG00000107362	ENST00000333421
ABHD17C	ENSG00000136379	ENST00000558464
ABHD17C	ENSG00000136379	ENST00000258884
ABHD17C	ENSG00000136379	ENST00000560609
ABHD18	ENSG00000164074	ENST00000611882
ABHD18	ENSG00000164074	ENST00000444616
ABHD18	ENSG00000164074	ENST00000645843
ABHD18	ENSG00000164074	ENST00000513371
ABHD18	ENSG00000164074	ENST00000388795
ABHD18	ENSG00000164074	ENST00000398965
ABHD2	ENSG00000140526	ENST00000565066
ABHD2	ENSG00000140526	ENST00000352732
ABHD3	ENSG00000158201	ENST00000289119
ABHD3	ENSG00000158201	ENST00000577891
ABHD3	ENSG00000158201	ENST00000580477
ABHD3	ENSG00000158201	ENST00000584464
ABHD3	ENSG00000158201	ENST00000578270
ABHD3	ENSG00000158201	ENST00000580981
ABHD4	ENSG00000100439	ENST00000545034
ABHD4	ENSG00000100439	ENST00000428304
ABHD4	ENSG00000100439	ENST00000216327
ABHD4	ENSG00000100439	ENST00000537243
ABHD4	ENSG00000100439	ENST00000541962
ABHD5	ENSG00000011198	ENST00000646799
ABHD5	ENSG00000011198	ENST00000413300
ABHD5	ENSG00000011198	ENST00000643500
ABHD5	ENSG00000011198	ENST00000644371
ABHD5	ENSG00000011198	ENST00000643477
ABHD5	ENSG00000011198	ENST00000013894
ABHD5	ENSG00000011198	ENST00000642351
ABHD5	ENSG00000011198	ENST00000649763
ABHD5	ENSG00000011198	ENST00000643140
ABHD5	ENSG00000011198	ENST00000456453
ABHD5	ENSG00000011198	ENST00000454293
ABHD5	ENSG00000011198	ENST00000646378
ABHD5	ENSG00000011198	ENST00000463153
ABHD6	ENSG00000163686	ENST00000463756
ABHD6	ENSG00000163686	ENST00000485900
ABHD6	ENSG00000163686	ENST00000478253
ABHD8	ENSG00000127220	ENST00000247706
ABI1	ENSG00000136754	ENST00000376160
ABI1	ENSG00000136754	ENST00000376170
ABI1	ENSG00000136754	ENST00000376139
ABI1	ENSG00000136754	ENST00000376166
ABI1	ENSG00000136754	ENST00000376138
ABI1	ENSG00000136754	ENST00000376137
ABI1	ENSG00000136754	ENST00000536334
ABI1	ENSG00000136754	ENST00000346832
ABI1	ENSG00000136754	ENST00000490841
ABI1	ENSG00000136754	ENST00000359188
ABI1	ENSG00000136754	ENST00000376142
ABI1	ENSG00000136754	ENST00000376140
ABI2	ENSG00000138443	ENST00000430418
ABI2	ENSG00000138443	ENST00000261017
ABI2	ENSG00000138443	ENST00000261016
ABI2	ENSG00000138443	ENST00000261018
ABI2	ENSG00000138443	ENST00000422511
ABI2	ENSG00000138443	ENST00000431886
ABI2	ENSG00000138443	ENST00000424558
ABI2	ENSG00000138443	ENST00000417864
ABI2	ENSG00000138443	ENST00000444584
ABI2	ENSG00000138443	ENST00000413635
ABI2	ENSG00000138443	ENST00000295851
ABI2	ENSG00000138443	ENST00000416001
ABI2	ENSG00000138443	ENST00000447762
ABI2	ENSG00000138443	ENST00000441061
ABI2	ENSG00000138443	ENST00000425253
ABI3	ENSG00000108798	ENST00000571035
ABI3	ENSG00000108798	ENST00000419580
ABI3	ENSG00000108798	ENST00000573347
ABI3	ENSG00000108798	ENST00000225941
ABI3BP	ENSG00000154175	ENST00000284322
ABI3BP	ENSG00000154175	ENST00000495063
ABI3BP	ENSG00000154175	ENST00000495591
ABI3BP	ENSG00000154175	ENST00000530236
ABI3BP	ENSG00000154175	ENST00000471714
ABI3BP	ENSG00000154175	ENST00000486770
ABITRAM	ENSG00000119328	ENST00000374624
ABITRAM	ENSG00000119328	ENST00000322940
ABL1	ENSG00000097007	ENST00000393293
ABL1	ENSG00000097007	ENST00000318560
ABL2	ENSG00000143322	ENST00000512653
ABL2	ENSG00000143322	ENST00000344730
