ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005938	cell cortex	123/5228	302/17442	3.909985716948514e-5	0.0026516812225850827	0.0020279543144364545	ITPR2/AKAP12/ERC2/BSN/AKT2/CAPZA3/PPFIA3/HFE/ERC1/SEPTIN6/PLA2G4C/RIC8B/TRPC4/DST/SELE/GLRX3/EPB41/AGTRAP/KCNC3/EXOC3L4/GRM7/ACTN4/SEPTIN2/CAV1/GSN/CTBP2/CTNNB1/NF2/STOX1/CLIP4/MYH9/ERMN/EXOC6B/PCLO/PARD3B/WDPCP/TRAK1/FGF1/FLNA/CDH1/ACTB/FGB/EMD/DBNL/CALD1/RIMS2/ECT2/SEPTIN5/MPP1/ANLN/PJVK/HAX1/RHOA/CYTIP/AXIN1/PARD6G/STIMATE/FLNB/CNKSR1/CRIP2/PRKD1/PLEKHH2/EXOC6/RAPGEF3/PKD2/SEPTIN11/NEDD4/FRYL/SNCA/FAM110A/RAI14/MAEA/ACTN3/DCTN4/FCHSD1/PTK2/INSC/DENND2B/ARHGAP32/RDX/TRPV4/EPS8/PXN/PSEN1/MYO1A/EXOC5/CIB2/SPIRE2/LLGL2/SEPTIN4/MICAL3/TPM4/FLOT2/SEPTIN12/ARHGAP33/SEPTIN9/SPTBN4/NLRP5/MYO9B/RYR1/GAD1/MELK/IQGAP1/STXBP1/CLIC5/GPSM2/TSC1/ENO1/DLG4/GNAI1/MYO6/ITCH/CAPZB/NCL/PSEN2/SNX9/DYNC1H1/CTSZ/FMN2/ACTN1/CTNND1/MYH10/NOS2	123
GO:0030133	transport vesicle	161/5228	414/17442	5.480493644732587e-5	0.003151715792361521	0.0024103710448143707	YIPF2/GAD2/HCK/CCDC88A/OTOF/NKD2/BSN/ITPR1/GOLIM4/STX19/ZNRF1/STX3/ATP13A2/BTBD8/HLA-DQA1/STX2/B2M/SEPTIN6/BET1/SLC6A9/HLA-G/RAB3IP/CNST/NCSTN/SEC23IP/PPT1/SYT15/HLA-DQA1/HLA-DRA/HLA-C/SYP/CD74/ABCA12/SEPTIN2/IGF1/SNCAIP/AREG/SEC24B/STEAP2/CEACAM1/SYNGR1/AP1S3/MFF/YIPF3/TMEM168/HLA-DPA1/ATP6V0E2/ATP6V0D1/GOSR1/CLTCL1/BACE1/ATP6AP1/DNM1L/SEPTIN5/PPFIA2/TGFA/ATP6AP2/GRIA1/AMPH/AP1G1/AP1S2/ICA1/MCTP2/VAMP7/STX16/SEC31B/VPS45/MYOF/SYPL1/HLA-F/CLRN1/SYNPR/CLCN5/AFTPH/VAMP2/STX5/PDE4B/GABBR1/RAB7A/ATP8A1/SNCA/PDCD6/SEC31A/SLC9B2/AP3S1/DTNBP1/COPS4/COPG1/GABRA2/COPS5/SNAP91/ATP6V1H/MAL2/DPYSL3/STX17/SNTB2/ABCC8/CNIH2/TRAPPC4/PICALM/SSPN/DISC1/RAB6A/SYT10/COPZ1/AP1G2/PSEN1/ATP6V1D/TMED10/CHGA/VTI1B/RAB8B/DMXL2/CHP1/BLOC1S6/RAB11A/CLN3/SYT17/RAB26/DOC2A/ATP6V0C/SEPTIN4/COPZ2/NDEL1/BRSK1/SYT5/UNC13D/CA4/ROGDI/BLOC1S3/ATP6V0A1/SYNGR2/AP1M1/AP1M2/RAB27B/SLC17A7/AP2A1/NRSN2/SCGN/TMEM230/SYTL1/GOSR2/ATP7A/CD55/AP1S1/COPA/DLG4/CBARP/SLC18B1/TOR1A/CD59/CLCN4/YKT6/PSEN2/LRRK2/NGF/FURIN/PAM/KIF1B/HLA-B/HLA-DRB1	161
GO:0099568	cytoplasmic region	117/5228	287/17442	5.680312237678287e-5	0.003151715792361521	0.0024103710448143707	SPATA7/NME8/CALY/DNHD1/DNAH3/FBXW11/CFAP43/KIF5A/ERC2/BSN/KIF5B/TEKTIP1/PPFIA3/MAPT/CFAP73/LRRC43/ERC1/ATG5/DST/CFAP46/GRIK2/DNAI4/SPAG6/NEK4/SEPTIN2/ATG16L1/PRKAR1A/CFAP70/CTBP2/CTNNB1/GNAT3/CFAP36/CFAP144/PCLO/WDPCP/TRAK1/DNAH1/AP3S2/ATG7/RIMS2/GLI3/PRKAR2A/SPAG16/BBS5/CFAP221/DYNLT2B/CIMIP2B/ARL8B/BBS1/DYNC2LI1/DNAH12/ARL13B/CCDC39/FMR1/HNRNPU/HDAC6/PKD2/AP3S1/DTNBP1/BBS7/CFAP100/UCHL1/STAU2/CFAP54/INSC/NME7/CFAP68/DLG2/SYBU/AP3B2/MAK/MAP2K4/HYDIN/PACRG/DNAJB13/ACTR10/BLOC1S1/RPGRIP1/DNAI7/TOGARAM1/BLOC1S6/RPGRIP1L/MAPK8IP3/IFT140/MAP1LC3B/CFAP52/BAIAP2/ABHD12/NETO1/NDEL1/FLOT2/BLOC1S3/SEPTIN9/AP3D1/ODAD4/RAB27B/TUBB4A/CHRNA2/STXBP1/SPG7/GPSM2/SPAST/OPA1/DLG4/GNAI1/DYNC2H1/ZC3H14/PQBP1/HSPB1/IFT172/KIF5C/LRRK2/DYNC1H1/ARFGEF2/CTNND1/AP3B1/KIF1B	117
GO:1904115	axon cytoplasm	34/5228	63/17442	5.914748135799101e-5	0.003151715792361521	0.0024103710448143707	CALY/FBXW11/KIF5A/KIF5B/MAPT/DST/TRAK1/AP3S2/ARL8B/HDAC6/AP3S1/DTNBP1/UCHL1/DLG2/SYBU/AP3B2/ACTR10/BLOC1S1/BLOC1S6/MAPK8IP3/NETO1/NDEL1/BLOC1S3/AP3D1/RAB27B/SPG7/SPAST/OPA1/ZC3H14/HSPB1/KIF5C/DYNC1H1/AP3B1/KIF1B	34
GO:0044391	ribosomal subunit	78/5228	179/17442	7.45057428783857e-5	0.003649802622680084	0.0027912981818718863	RPS20/RPL18/RPS19/RPS13/RPS12/RPS15/RPL27/RPL8/RPL21/RPS3A/RPLP2/RPL10A/MRPL11/RPS2/RPS10/MRPS5/RPL35/RPL15/RPLP1/MRPL42/MRPL19/RPS24/RPL12/MRPL43/RPL11/RACK1/RPS6/MRPL23/MRPL47/RPL24/RPL23/RPL36/RPL34/RPL32/RPS27A/RPS7/PTCD3/RPL31/MTERF4/RPL35A/RPS18/RPL37A/EIF2A/MRPS2/RPL13A/RPL36A/RPL29/MRPL9/MRPS22/MRPL27/MRPS18C/RPS23/MRPL22/MRPS28/MRPS27/RPL27A/FAU/RPS3/RPS25/MRPL49/MRPL21/MRPL52/RPL28/RPS15A/RPL13/RPL17/MRPS7/RPL26/RPL38/MRPL4/UBA52/RPS5/RPS16/RPS28/RPL19/NPM1/MRPS25/RPSA	78
GO:0032838	plasma membrane bounded cell projection cytoplasm	103/5228	249/17442	7.827994901190529e-5	0.003649802622680084	0.0027912981818718863	SPATA7/NME8/CALY/DNHD1/DNAH3/FBXW11/CFAP43/KIF5A/KIF5B/TEKTIP1/MAPT/CFAP73/LRRC43/ATG5/DST/CFAP46/GRIK2/DNAI4/SPAG6/NEK4/SEPTIN2/ATG16L1/PRKAR1A/CFAP70/GNAT3/CFAP36/CFAP144/WDPCP/TRAK1/DNAH1/AP3S2/ATG7/GLI3/PRKAR2A/SPAG16/BBS5/CFAP221/DYNLT2B/CIMIP2B/ARL8B/BBS1/DYNC2LI1/DNAH12/ARL13B/CCDC39/FMR1/HNRNPU/HDAC6/AP3S1/DTNBP1/BBS7/CFAP100/UCHL1/STAU2/CFAP54/NME7/CFAP68/DLG2/SYBU/AP3B2/MAK/MAP2K4/HYDIN/PACRG/DNAJB13/ACTR10/BLOC1S1/RPGRIP1/DNAI7/TOGARAM1/BLOC1S6/RPGRIP1L/MAPK8IP3/IFT140/MAP1LC3B/CFAP52/BAIAP2/ABHD12/NETO1/NDEL1/FLOT2/BLOC1S3/SEPTIN9/AP3D1/ODAD4/RAB27B/TUBB4A/CHRNA2/SPG7/SPAST/OPA1/DLG4/DYNC2H1/ZC3H14/PQBP1/HSPB1/IFT172/KIF5C/LRRK2/DYNC1H1/ARFGEF2/AP3B1/KIF1B	103
GO:0005778	peroxisomal membrane	34/5228	64/17442	9.004701690895511e-5	0.0037319485896711393	0.0028541218224943667	ALDH3A2/MPV17/PEX5/SLC25A17/PEX1/PEX26/PEX11B/DECR2/ACSL6/PECR/IMPDH2/FIS1/PJVK/PEX19/PEX5L/ABCD4/ACBD5/ACSL1/GDAP1/PEX16/TMEM135/PEX7/DAO/FAR2/RAB8B/MPV17L/MPV17L/TRIM37/ACOX1/AGPS/HSD17B4/ACSL3/ATAD1/TTC1	34
GO:0031903	microbody membrane	34/5228	64/17442	9.004701690895511e-5	0.0037319485896711393	0.0028541218224943667	ALDH3A2/MPV17/PEX5/SLC25A17/PEX1/PEX26/PEX11B/DECR2/ACSL6/PECR/IMPDH2/FIS1/PJVK/PEX19/PEX5L/ABCD4/ACBD5/ACSL1/GDAP1/PEX16/TMEM135/PEX7/DAO/FAR2/RAB8B/MPV17L/MPV17L/TRIM37/ACOX1/AGPS/HSD17B4/ACSL3/ATAD1/TTC1	34
GO:0030018	Z disc	59/5228	129/17442	1.0873745940835038e-4	0.004269376037822599	0.003265135900239663	PALLD/ANK3/ANK1/PPP1R12B/SCN3B/MYO18B/JPH1/SMN1/DST/GLRX3/JPH2/MYPN/SMN1/FKBP1A/ACTN4/SRI/CTNNB1/SLC8A1/XIRP2/CAB39/FLNA/PPP3CB/DNAJB6/FLNB/CACNA1C/PRICKLE4/SORBS2/PRKD1/PDE4B/KCNN2/PDLIM3/PDLIM5/ACTN3/MYOZ3/CSRP1/LDB3/PPP1R12A/CSRP2/SCN8A/SYNE2/PSEN1/CFL2/CAPN3/RTN2/STK11/HRC/RYR1/RYR2/RYR3/CACNA1D/SCN1A/CSRP3/OBSCN/ANK2/HSPB1/NEBL/PSEN2/DMD/ACTN1	59
GO:0005637	nuclear inner membrane	30/5228	55/17442	1.2271094501740447e-4	0.00435916023728494	0.0033338011127535456	ITPR1/DPY19L2/GHRHR/NEMP2/SUN5/CBX3/LRPPRC/LEMD2/EMD/SPAG4/TMEM43/SUN3/ARL6IP6/SUN1/LMNB1/TMX4/ATP11B/TMEM120A/MFSD10/FAM169A/TM7SF2/TOR1AIP1/MAJIN/TMEM120B/TERB1/PTGS2/DPY19L3/ZMPSTE24/PSEN2/DPY19L1	30
GO:0022625	cytosolic large ribosomal subunit	30/5228	55/17442	1.2271094501740447e-4	0.00435916023728494	0.0033338011127535456	RPL18/RPL27/RPL8/RPL21/RPLP2/RPL10A/RPL35/RPL15/RPLP1/RPL12/RPL11/RPL24/RPL23/RPL36/RPL34/RPL32/RPL31/RPL35A/RPL37A/RPL13A/RPL36A/RPL29/RPL27A/RPL28/RPL13/RPL17/RPL26/RPL38/UBA52/RPL19	30
