Gene	Codon	Length
ENSG00000057608	UAG	0
ENSG00000244734	UGA	0
ENSG00000170054	UAG	0
ENSG00000137274	UGA	0
ENSG00000049540	UGA	0
ENSG00000152942	UAG	9
ENSG00000183527	UGA	0
ENSG00000147862	UAG	5
ENSG00000205629	UAA	0
ENSG00000130595	UAG	0
ENSG00000205755	UGA	0
ENSG00000100083	UAG	0
ENSG00000168621	UGA	0
ENSG00000289791	UAA	7
ENSG00000242110	UAA	1
ENSG00000090512	UGA	0
ENSG00000090512	UGA	0
ENSG00000136527	UAA	0
ENSG00000205883	UAG	0
ENSG00000099625	UAA	0
ENSG00000120645	UAG	9
ENSG00000129873	UAA	7
ENSG00000109685	UAG	6
ENSG00000206422	UGA	0
ENSG00000183346	UGA	0
ENSG00000211669	UAG	0
ENSG00000211672	UGA	2
ENSG00000211676	UAG	0
ENSG00000211678	UAG	0
ENSG00000211716	UAG	0
ENSG00000211786	UGA	0
ENSG00000211790	UGA	0
ENSG00000211793	UGA	0
ENSG00000211795	UGA	0
ENSG00000132958	UGA	10
ENSG00000212657	UAA	0
ENSG00000204673	UGA	0
ENSG00000104859	UAG	10
ENSG00000105221	UGA	0
ENSG00000130023	UGA	7
ENSG00000143252	UGA	0
ENSG00000078018	UGA	0
ENSG00000181036	UGA	10
ENSG00000163564	UAA	1
ENSG00000163564	UAA	1
ENSG00000064012	UGA	0
ENSG00000075711	UGA	0
ENSG00000152256	UAG	0
ENSG00000170412	UGA	0
ENSG00000144230	UGA	0
ENSG00000175497	UAA	0
ENSG00000153094	UGA	0
ENSG00000168959	UAA	1
ENSG00000130830	UGA	0
ENSG00000112759	UGA	0
ENSG00000213401	UGA	0
ENSG00000232535	UAG	0
ENSG00000165861	UAA	4
ENSG00000182511	UGA	7
ENSG00000182511	UGA	2
ENSG00000068831	UGA	4
ENSG00000101972	UGA	0
ENSG00000101972	UGA	0
ENSG00000157224	UGA	0
ENSG00000188372	UAA	7
ENSG00000138303	UAG	0
ENSG00000205111	UAA	0
ENSG00000116754	UGA	0
ENSG00000072682	UGA	0
ENSG00000101197	UAG	5
ENSG00000126522	UAG	5
ENSG00000108064	UAA	5
ENSG00000185761	UGA	0
ENSG00000108641	UGA	5
ENSG00000108557	UGA	0
ENSG00000029153	UAG	1
ENSG00000173578	UGA	0
ENSG00000101115	UAA	0
ENSG00000111716	UAA	0
ENSG00000204580	UGA	0
ENSG00000147604	UAA	2
ENSG00000147604	UAA	4
ENSG00000161955	UGA	2
ENSG00000139197	UGA	0
ENSG00000136247	UGA	9
ENSG00000213921	UAA	0
ENSG00000167232	UAA	0
ENSG00000178381	UGA	1
ENSG00000163072	UAA	0
ENSG00000134470	UAG	0
ENSG00000214026	UGA	6
ENSG00000130595	UAG	0
ENSG00000125995	UAA	4
ENSG00000184708	UGA	0
ENSG00000184708	UGA	0
ENSG00000168487	UGA	0
ENSG00000126070	UAG	0
ENSG00000015171	UGA	0
ENSG00000150672	UAA	0
ENSG00000154839	UGA	0
ENSG00000214511	UGA	0
ENSG00000121753	UGA	9
ENSG00000183778	UGA	0
ENSG00000169059	UAG	0
ENSG00000157551	UGA	0
ENSG00000157551	UGA	0
ENSG00000157551	UGA	0
ENSG00000157538	UAG	0
ENSG00000180509	UGA	0
ENSG00000185231	UGA	0
ENSG00000156256	UAG	0
ENSG00000198081	UAG	0
ENSG00000134871	UGA	0
ENSG00000253309	UAA	0
ENSG00000106305	UGA	4
ENSG00000189337	UGA	0
ENSG00000121797	UAA	0
ENSG00000138074	UGA	0
ENSG00000172059	UAG	0
ENSG00000189350	UGA	0
ENSG00000100353	UAA	0
ENSG00000106304	UGA	0
ENSG00000177692	UGA	8
ENSG00000084764	UGA	7
ENSG00000173467	UGA	6
ENSG00000011454	UAG	0
ENSG00000146205	UGA	0
ENSG00000100138	UAA	8
ENSG00000100316	UGA	0
ENSG00000108468	UGA	0
ENSG00000118246	UAA	4
ENSG00000015171	UGA	0
ENSG00000105672	UAA	0
ENSG00000185686	UGA	0
ENSG00000162994	UGA	0
ENSG00000006468	UAA	8
ENSG00000186654	UGA	0
ENSG00000182326	UGA	0
ENSG00000130294	UGA	0
ENSG00000085760	UAA	0
ENSG00000185615	UAG	1
ENSG00000091831	UGA	0
ENSG00000115828	UGA	0
ENSG00000177989	UAA	1
ENSG00000183023	UAA	3
ENSG00000071575	UGA	1
ENSG00000116161	UGA	0
ENSG00000163517	UGA	0
ENSG00000115504	UAA	0
ENSG00000128340	UAG	0
ENSG00000069020	UAA	0
ENSG00000146122	UAA	3
ENSG00000183337	UGA	0
ENSG00000100263	UAG	0
ENSG00000197872	UAG	0
ENSG00000185686	UAA	9
ENSG00000168385	UAG	0
ENSG00000122085	UAA	2
ENSG00000187554	UAA	0
ENSG00000272968	UAG	3
ENSG00000068903	UAA	0
ENSG00000100346	UAG	6
ENSG00000138074	UGA	0
ENSG00000164532	UGA	0
ENSG00000136709	UAA	0
ENSG00000151689	UAG	0
ENSG00000115526	UAA	0
ENSG00000115665	UGA	0
ENSG00000102547	UAA	0
ENSG00000158411	UGA	0
ENSG00000196290	UGA	0
ENSG00000188732	UGA	10
ENSG00000081320	UAG	0
ENSG00000042493	UGA	0
ENSG00000106069	UAA	0
ENSG00000186973	UAA	0
ENSG00000198925	UAG	0
ENSG00000055130	UAA	0
ENSG00000166762	UAG	0
ENSG00000115919	UAG	0
ENSG00000007541	UGA	0
ENSG00000241644	UGA	0
ENSG00000066032	UGA	0
ENSG00000183305	UGA	0
ENSG00000204843	UAA	0
ENSG00000136718	UGA	0
ENSG00000188732	UGA	3
ENSG00000178662	UAA	0
ENSG00000115526	UAA	0
ENSG00000115514	UGA	0
ENSG00000180347	UAG	0
ENSG00000042493	UGA	0
ENSG00000163166	UGA	0
ENSG00000239306	UAG	6
ENSG00000135968	UGA	0
ENSG00000064933	UGA	0
ENSG00000115221	UAG	0
ENSG00000135968	UAG	0
ENSG00000144366	UAA	0
ENSG00000115594	UAG	0
ENSG00000198130	UGA	0
ENSG00000115942	UAG	0
ENSG00000115604	UAA	0
ENSG00000003393	UGA	0
ENSG00000187514	UAG	5
ENSG00000135932	UAA	0
ENSG00000064989	UAG	0
ENSG00000080603	UGA	0
ENSG00000085831	UGA	0
ENSG00000198218	UGA	0
ENSG00000104805	UGA	0
ENSG00000116062	UAG	0
ENSG00000100124	UAG	8
ENSG00000155657	UAA	0
ENSG00000143257	UGA	0
ENSG00000161217	UGA	0
ENSG00000132781	UGA	0
ENSG00000185133	UAG	0
ENSG00000138378	UGA	0
ENSG00000148688	UGA	0
ENSG00000108384	UAA	7
ENSG00000269335	UAG	0
ENSG00000133895	UGA	0
ENSG00000068745	UGA	0
ENSG00000206073	UAG	1
ENSG00000157601	UAA	0
ENSG00000101871	UGA	0
ENSG00000145012	UAG	0
ENSG00000056487	UGA	0
ENSG00000196092	UGA	9
ENSG00000177409	UAA	0
ENSG00000148584	UGA	0
ENSG00000169760	UAG	0
ENSG00000166863	UAG	1
ENSG00000105146	UGA	0
ENSG00000160818	UAA	0
ENSG00000127947	UGA	0
ENSG00000107796	UAA	0
ENSG00000180776	UGA	0
ENSG00000135205	UAA	0
ENSG00000169057	UGA	0
ENSG00000182035	UGA	8
ENSG00000188372	UAA	6
ENSG00000180509	UGA	0
ENSG00000176209	UGA	0
ENSG00000090612	UGA	0
ENSG00000163959	UGA	0
ENSG00000075420	UAA	6
ENSG00000197217	UGA	0
ENSG00000115998	UGA	0
ENSG00000163866	UAA	10
ENSG00000183023	UAA	0
ENSG00000012223	UAA	2
ENSG00000137760	UGA	0
ENSG00000021461	UGA	0
ENSG00000197658	UAA	0
ENSG00000118495	UAA	0
ENSG00000157601	UAA	0
ENSG00000124678	UGA	0
ENSG00000130023	UGA	3
ENSG00000122194	UAA	0
ENSG00000042813	UAA	0
ENSG00000111860	UAA	0
ENSG00000150961	UAA	0
ENSG00000112118	UGA	2
ENSG00000118503	UAA	0
ENSG00000185133	UGA	0
ENSG00000145012	UAG	0
ENSG00000151136	UGA	0
ENSG00000103342	UAA	0
ENSG00000081320	UAG	0
ENSG00000056487	UGA	0
ENSG00000116062	UAG	0
ENSG00000173114	UAG	0
ENSG00000138376	UGA	1
ENSG00000149091	UAG	0
ENSG00000154556	UGA	0
ENSG00000162613	UAG	0
ENSG00000073737	UGA	0
ENSG00000126217	UAA	0
ENSG00000163412	UAA	0
ENSG00000100298	UGA	0
ENSG00000177565	UAG	0
ENSG00000180376	UAA	0
ENSG00000164707	UAA	0
ENSG00000269335	UAG	0
ENSG00000178234	UAA	0
ENSG00000149231	UAA	0
ENSG00000099246	UGA	0
ENSG00000184012	UAA	0
ENSG00000073803	UAA	0
ENSG00000133895	UGA	0
ENSG00000189068	UGA	0
ENSG00000130508	UGA	0
ENSG00000166508	UGA	0
ENSG00000196646	UAA	0
ENSG00000072518	UAA	10
ENSG00000168036	UAA	0
ENSG00000101049	UAG	0
ENSG00000256223	UAA	0
ENSG00000215906	UGA	0
ENSG00000142687	UAG	0
ENSG00000085982	UAA	0
ENSG00000061273	UAA	0
ENSG00000234545	UAA	0
ENSG00000170485	UAA	0
ENSG00000223350	UAA	0
ENSG00000168843	UAA	0
ENSG00000114867	UGA	0
ENSG00000121853	UGA	0
ENSG00000168621	UGA	0
ENSG00000173852	UGA	5
ENSG00000143257	UGA	0
ENSG00000166451	UAA	9
ENSG00000123992	UAG	0
ENSG00000076242	UAA	0
ENSG00000130429	UGA	0
ENSG00000181690	UAG	0
ENSG00000138030	UGA	0
ENSG00000133895	UGA	0
ENSG00000196436	UAA	0
ENSG00000105204	UGA	0
ENSG00000122882	UAA	0
ENSG00000185842	UAA	0
ENSG00000120662	UAG	0
ENSG00000149452	UGA	0
ENSG00000179364	UAG	0
ENSG00000093144	UAA	0
ENSG00000153827	UGA	0
ENSG00000160808	UAA	0
ENSG00000177565	UAG	0
ENSG00000172116	UAG	0
ENSG00000136271	UGA	0
ENSG00000178234	UAG	0
ENSG00000164398	UGA	0
ENSG00000178171	UAG	0
ENSG00000115365	UGA	0
ENSG00000183166	UAG	0
ENSG00000236980	UGA	0
ENSG00000064012	UGA	0
ENSG00000169981	UAG	0
ENSG00000186654	UGA	0
ENSG00000134262	UAA	0
ENSG00000138378	UGA	0
ENSG00000173464	UAA	0
ENSG00000186143	UGA	0
ENSG00000198453	UGA	0
ENSG00000163040	UGA	0
ENSG00000237110	UAA	0
ENSG00000137274	UGA	0
ENSG00000185513	UGA	0
ENSG00000143575	UAG	0
ENSG00000143774	UGA	0
ENSG00000132781	UGA	0
ENSG00000135956	UAA	8
ENSG00000171469	UGA	0
ENSG00000118263	UAA	0
ENSG00000173409	UGA	4
ENSG00000111664	UGA	0
ENSG00000142875	UAA	0
ENSG00000047056	UAA	0
ENSG00000169814	UAG	0
ENSG00000223731	UGA	0
ENSG00000115053	UAG	0
ENSG00000161911	UAA	0
ENSG00000106633	UGA	4
ENSG00000132330	UGA	6
ENSG00000114648	UGA	0
ENSG00000136695	UAG	0
ENSG00000183671	UAA	0
ENSG00000143569	UGA	0
ENSG00000164062	UGA	0
ENSG00000065526	UAA	0
ENSG00000163702	UAA	0
ENSG00000213471	UAA	0
ENSG00000131732	UGA	0
ENSG00000177189	UAG	0
ENSG00000106012	UAG	0
ENSG00000221838	UGA	0
ENSG00000203756	UAG	0
ENSG00000117407	UGA	0
ENSG00000211456	UGA	0
ENSG00000006468	UAA	0
ENSG00000160818	UAA	0
ENSG00000161405	UGA	0
ENSG00000133657	UAG	0
ENSG00000078369	UAA	0
ENSG00000186510	UGA	5
ENSG00000143442	UGA	0
ENSG00000150401	UAG	0
ENSG00000177409	UAA	0
ENSG00000086288	UAA	0
ENSG00000171960	UAG	0
ENSG00000127947	UGA	0
ENSG00000269335	UAG	0
ENSG00000132436	UGA	0
ENSG00000183963	UAA	0
ENSG00000170502	UAA	0
ENSG00000095370	UGA	0
ENSG00000064012	UGA	0
ENSG00000171885	UGA	0
ENSG00000134077	UAA	10
ENSG00000189099	UAA	0
ENSG00000095951	UGA	0
ENSG00000168758	UGA	0
ENSG00000134759	UAA	10
ENSG00000143257	UGA	0
ENSG00000077800	UAG	0
ENSG00000004838	UAA	0
ENSG00000163374	UGA	0
ENSG00000006468	UAA	0
ENSG00000182511	UGA	7
ENSG00000106460	UAA	0
ENSG00000087053	UAA	0
ENSG00000171469	UGA	0
ENSG00000170011	UGA	0
ENSG00000198453	UGA	0
ENSG00000172123	UGA	0
ENSG00000168393	UGA	7
ENSG00000114942	UAA	0
ENSG00000269335	UAG	0
ENSG00000160791	UGA	0
ENSG00000152056	UGA	0
ENSG00000177409	UAA	0
ENSG00000152359	UAA	4
ENSG00000142875	UAA	4
ENSG00000155744	UAG	0
ENSG00000196092	UGA	9
ENSG00000139737	UAA	0
ENSG00000177409	UAA	0
ENSG00000172123	UGA	0
ENSG00000123473	UAA	0
ENSG00000147853	UGA	1
ENSG00000114378	UGA	1
ENSG00000105393	UGA	0
ENSG00000160752	UGA	0
ENSG00000205531	UAG	0
ENSG00000155849	UGA	0
ENSG00000130294	UGA	0
ENSG00000188770	UAG	0
ENSG00000115365	UGA	0
ENSG00000081320	UAG	0
ENSG00000197343	UGA	8
ENSG00000151914	UAG	0
ENSG00000116455	UAG	2
ENSG00000197249	UAA	0
ENSG00000197381	UGA	0
ENSG00000183873	UGA	0
ENSG00000183570	UAA	0
ENSG00000196141	UAA	0
ENSG00000101255	UAG	0
ENSG00000164604	UAG	0
ENSG00000119013	UGA	0
ENSG00000147140	UAA	0
ENSG00000079112	UGA	0
ENSG00000171552	UGA	0
ENSG00000185347	UGA	0
ENSG00000136205	UGA	0
ENSG00000064012	UGA	0
ENSG00000090512	UGA	0
ENSG00000172575	UAG	0
ENSG00000081665	UAA	0
ENSG00000248235	UGA	0
ENSG00000138378	UGA	0
ENSG00000115211	UGA	1
ENSG00000146282	UAA	2
ENSG00000163702	UAA	0
ENSG00000161249	UGA	1
ENSG00000104805	UGA	0
ENSG00000115085	UGA	0
ENSG00000144451	UGA	3
ENSG00000132535	UGA	0
ENSG00000136449	UGA	0
ENSG00000144445	UAA	8
ENSG00000104805	UGA	0
ENSG00000106628	UGA	0
ENSG00000188610	UAA	6
ENSG00000158488	UGA	0
ENSG00000013725	UAG	3
ENSG00000111218	UAG	0
ENSG00000088727	UAG	0
ENSG00000146755	UAG	10
ENSG00000105963	UAG	4
ENSG00000139631	UGA	0
ENSG00000112182	UAG	0
ENSG00000112769	UAA	4
ENSG00000143774	UGA	0
ENSG00000079841	UAG	0
ENSG00000105568	UGA	0
ENSG00000123136	UGA	0
ENSG00000162944	UGA	2
ENSG00000184012	UAA	0
ENSG00000163374	UGA	0
ENSG00000197343	UAA	10
ENSG00000100139	UAA	0
ENSG00000128294	UGA	0
ENSG00000145012	UGA	0
ENSG00000115053	UAG	0
ENSG00000147140	UAA	0
ENSG00000116062	UAG	0
ENSG00000101972	UAA	0
ENSG00000118194	UAG	0
ENSG00000099250	UAG	7
ENSG00000108381	UAG	0
ENSG00000168032	UGA	0
ENSG00000010803	UGA	2
ENSG00000079263	UAG	0
ENSG00000174501	UAG	6
ENSG00000177192	UAG	0
ENSG00000108352	UGA	0
ENSG00000182568	UGA	0
ENSG00000128191	UGA	0
ENSG00000165119	UAA	0
ENSG00000114378	UGA	1
ENSG00000101076	UAG	6
ENSG00000144445	UAA	8
ENSG00000066468	UGA	0
ENSG00000125089	UGA	0
ENSG00000204977	UAA	4
ENSG00000136205	UGA	0
ENSG00000172215	UAG	0
ENSG00000134326	UGA	0
ENSG00000107796	UAA	0
ENSG00000174175	UAA	1
ENSG00000178171	UAG	0
ENSG00000182158	UAA	3
ENSG00000168268	UGA	0
ENSG00000204344	UGA	0
ENSG00000174500	UAG	0
ENSG00000135250	UAG	0
ENSG00000089820	UGA	0
ENSG00000010704	UGA	4
ENSG00000158525	UAG	0
ENSG00000225830	UAA	0
ENSG00000204681	UGA	0
ENSG00000114209	UAA	0
ENSG00000117118	UAA	0
ENSG00000169251	UAG	0
ENSG00000164091	UGA	0
ENSG00000124787	UAA	0
ENSG00000149474	UGA	0
ENSG00000139734	UAA	6
ENSG00000250349	UAA	7
ENSG00000176261	UAA	4
ENSG00000069702	UAG	10
ENSG00000122705	UGA	10
ENSG00000244682	UAA	0
ENSG00000151577	UGA	6
ENSG00000106028	UAA	0
ENSG00000067057	UAG	0
ENSG00000105856	UGA	0
ENSG00000115041	UAG	0
ENSG00000133612	UAG	6
ENSG00000125618	UAG	5
ENSG00000164091	UGA	0
ENSG00000163430	UAA	0
ENSG00000023330	UGA	0
ENSG00000152952	UAA	0
ENSG00000131018	UAA	8
ENSG00000144355	UGA	0
ENSG00000126088	UGA	0
ENSG00000012048	UGA	0
ENSG00000163930	UGA	0
ENSG00000003402	UGA	0
ENSG00000087053	UAA	0
ENSG00000125841	UGA	0
ENSG00000118492	UGA	0
ENSG00000166922	UGA	8
ENSG00000132676	UGA	0
ENSG00000124596	UAA	8
ENSG00000050327	UAA	0
ENSG00000169641	UGA	0
ENSG00000114209	UAA	8
ENSG00000189409	UAG	0
ENSG00000102804	UAG	0
ENSG00000145087	UAA	4
ENSG00000005483	UAA	0
ENSG00000079393	UGA	0
ENSG00000174579	UAA	0
ENSG00000075790	UAG	0
ENSG00000142765	UGA	0
ENSG00000239264	UAG	0
ENSG00000196549	UGA	0
ENSG00000186591	UAG	0
ENSG00000144815	UAG	0
ENSG00000005483	UGA	0
ENSG00000114107	UGA	2
ENSG00000167613	UGA	1
ENSG00000169641	UGA	0
ENSG00000165699	UAA	0
ENSG00000158092	UAG	0
ENSG00000120093	UGA	0
ENSG00000125944	UAG	0
ENSG00000204681	UGA	0
ENSG00000147121	UGA	0
ENSG00000012048	UGA	0
ENSG00000283154	UGA	0
ENSG00000012048	UGA	0
ENSG00000114127	UGA	0
ENSG00000244255	UAA	0
ENSG00000094631	UAA	0
ENSG00000106344	UAA	0
ENSG00000012048	UGA	0
ENSG00000095951	UGA	0
ENSG00000121578	UAA	0
ENSG00000102401	UGA	0
ENSG00000160124	UAA	7
ENSG00000016864	UAA	0
ENSG00000172530	UGA	0
ENSG00000162931	UAG	0
ENSG00000160753	UAG	0
ENSG00000107779	UGA	0
ENSG00000205213	UAA	3
ENSG00000102882	UGA	0
ENSG00000116977	UGA	0
ENSG00000007372	UAA	0
ENSG00000087053	UAA	0
ENSG00000144843	UGA	0
ENSG00000174579	UAA	0
ENSG00000033100	UAG	0
ENSG00000116497	UAA	0
ENSG00000106538	UAA	0
ENSG00000135250	UAG	0
ENSG00000164889	UGA	0
ENSG00000002726	UGA	0
ENSG00000132781	UGA	0
ENSG00000112078	UAA	0
ENSG00000065371	UAA	0
ENSG00000134744	UAG	0
ENSG00000182606	UGA	5
ENSG00000087053	UAA	0
ENSG00000181322	UAA	0
ENSG00000173889	UAA	10
ENSG00000204983	UAA	0
ENSG00000130021	UGA	0
ENSG00000163659	UGA	8
ENSG00000107147	UGA	0
ENSG00000186891	UGA	0
ENSG00000162493	UAA	6
ENSG00000095951	UGA	0
ENSG00000095794	UAG	0
ENSG00000116649	UAG	0
ENSG00000128284	UGA	0
ENSG00000107147	UGA	0
ENSG00000095794	UAG	0
ENSG00000179348	UAG	0
ENSG00000174500	UAG	0
ENSG00000169255	UAA	0
ENSG00000010704	UGA	4
ENSG00000107147	UGA	0
ENSG00000154839	UGA	4
ENSG00000111669	UGA	0
ENSG00000174500	UAG	0
ENSG00000213625	UAG	1
ENSG00000068885	UAG	0
ENSG00000012048	UGA	0
ENSG00000174514	UAA	1
ENSG00000132664	UAA	5
ENSG00000114541	UAA	0
ENSG00000106302	UAA	0
ENSG00000165699	UAA	0
ENSG00000063601	UGA	5
ENSG00000138061	UAA	0
ENSG00000164509	UAA	0
ENSG00000196549	UGA	0
ENSG00000174579	UAA	0
ENSG00000160767	UGA	0
ENSG00000082996	UGA	0
ENSG00000105989	UGA	0
ENSG00000117118	UAA	0
ENSG00000163645	UAA	7
ENSG00000121542	UGA	0
ENSG00000143442	UGA	0
ENSG00000176142	UGA	0
ENSG00000095951	UGA	0
ENSG00000012048	UGA	0
